timestamp,symbol,bid_qty_1,ask_qty_1,nobi_1,bid_qty_5,ask_qty_5,nobi_5,bid_qty_20,ask_qty_20,nobi_20,mid_price,spread_bps,best_bid,best_ask
2026-05-04T09:40:37Z,BTCUSDT,0.925470,2.305290,-0.427088,0.932380,2.312250,-0.425278,1.092410,3.145360,-0.484441,79794.0350,0.00,79794.0300,79794.0400
2026-05-04T09:55:38Z,BTCUSDT,2.052190,2.205630,-0.036037,2.135380,2.256750,-0.027634,4.748920,5.419640,-0.065960,79910.7650,0.00,79910.7600,79910.7700
2026-05-04T12:15:22Z,BTCUSDT,3.303580,2.805920,0.081457,3.308350,2.825330,0.078749,4.125940,3.304010,0.110624,78796.6850,0.00,78796.6800,78796.6900
2026-05-04T12:20:56Z,BTCUSDT,0.346320,4.411800,-0.854430,0.347010,4.514090,-0.857230,0.538070,4.820720,-0.799182,78975.3950,0.00,78975.3900,78975.4000
2026-05-04T12:35:56Z,BTCUSDT,2.093630,4.620900,-0.376388,2.101570,4.817690,-0.392545,2.479880,11.069400,-0.633947,78876.4550,0.00,78876.4500,78876.4600
2026-05-04T12:50:57Z,BTCUSDT,2.578720,1.163150,0.378305,2.667460,1.287450,0.348936,3.004720,1.628470,0.297042,78972.7450,0.00,78972.7400,78972.7500
2026-05-04T13:05:57Z,BTCUSDT,4.316010,0.104210,0.952849,7.222140,0.105210,0.971283,9.971660,0.777150,0.855398,78680.8450,0.00,78680.8400,78680.8500
2026-05-04T13:20:58Z,BTCUSDT,2.334200,1.203220,0.319719,2.438330,1.210270,0.336584,4.370920,1.711970,0.437120,78952.5250,0.00,78952.5200,78952.5300
2026-05-04T13:35:59Z,BTCUSDT,0.374790,3.204290,-0.790566,0.382640,3.220390,-0.787601,0.489490,3.989940,-0.781450,79064.2450,0.00,79064.2400,79064.2500
2026-05-04T13:50:59Z,BTCUSDT,1.479630,5.495710,-0.575754,1.488150,5.566050,-0.578081,1.619150,6.031880,-0.576750,78836.5950,0.00,78836.5900,78836.6000
2026-05-04T14:06:00Z,BTCUSDT,4.161840,1.372860,0.503908,5.989960,1.447550,0.610743,6.667520,1.683480,0.596820,78641.7350,0.00,78641.7300,78641.7400
2026-05-04T14:21:00Z,BTCUSDT,0.001610,7.417370,-0.999566,0.005200,7.433130,-0.998602,0.544390,10.777960,-0.903838,79090.9350,0.00,79090.9300,79090.9400
2026-05-04T14:36:01Z,BTCUSDT,0.528730,0.000210,0.999206,5.287220,1.314720,0.601717,7.934030,1.349060,0.709351,79412.9850,0.03,79412.8800,79413.0900
2026-05-04T14:51:01Z,BTCUSDT,4.793450,0.299340,0.882446,5.388480,0.301660,0.893971,6.814130,0.333480,0.906688,80258.2550,0.00,80258.2500,80258.2600
2026-05-04T15:06:02Z,BTCUSDT,2.909170,0.658390,0.630902,5.682930,0.703120,0.779795,6.839650,0.875520,0.773039,80196.4950,0.00,80196.4900,80196.5000
2026-05-04T15:21:02Z,BTCUSDT,0.395040,1.950820,-0.663202,0.396120,2.119620,-0.685087,1.173180,7.323230,-0.723841,79652.9250,0.00,79652.9200,79652.9300
2026-05-04T15:36:03Z,BTCUSDT,1.822880,3.159020,-0.268199,1.825260,3.163450,-0.268244,2.132710,3.671270,-0.265087,79557.3050,0.00,79557.3000,79557.3100
2026-05-04T15:51:03Z,BTCUSDT,2.952910,2.121190,0.163915,4.050980,2.122710,0.312337,4.567870,2.330360,0.324360,79772.8150,0.00,79772.8100,79772.8200
