ep,cp,avg_sharpe,avg_ret_pct,avg_max_dd_pct,total_trades,pass_count,total_windows
21,14,-2.0797,-58.5974,59.36,298,0,3
21,15,-2.0491,-57.4134,58.64,304,0,3
21,16,-2.1000,-58.7961,59.32,305,0,3
21,17,-2.0522,-56.8901,57.40,305,0,3
21,18,-1.9871,-54.5591,55.62,306,0,3
21,19,-1.9407,-54.0477,55.26,309,0,3
21,20,-1.9358,-53.9198,54.85,306,0,3
22,5,-1.7963,-55.9382,57.39,250,0,3
22,6,-1.9792,-60.1473,60.99,259,0,3
22,7,-1.9866,-58.3253,58.83,260,0,3
22,8,-1.9874,-57.7656,58.53,266,0,3
22,9,-1.9209,-56.1918,57.36,267,0,3
22,10,-1.9637,-56.5239,57.96,274,0,3
22,11,-2.0244,-56.8154,57.55,279,0,3
22,12,-2.0034,-56.2602,57.27,282,0,3
22,13,-2.0277,-57.0550,58.06,288,0,3
22,14,-2.0441,-57.9379,58.71,291,0,3
22,15,-2.0123,-56.7706,58.02,298,0,3
22,16,-2.0329,-57.2681,57.80,299,0,3
22,17,-2.0055,-55.2939,55.81,297,0,3
22,18,-1.9615,-53.8368,54.90,299,0,3
22,19,-1.9012,-52.9229,54.59,302,0,3
22,20,-1.9175,-53.5045,54.50,299,0,3
23,5,-1.7527,-54.8005,56.65,241,0,3
23,6,-1.9367,-58.8716,59.72,250,0,3
23,7,-1.9784,-57.8201,58.36,251,0,3
23,8,-1.9942,-57.5493,58.34,258,0,3
23,9,-1.9336,-56.3985,57.54,260,0,3
23,10,-1.9639,-56.5590,58.29,266,0,3
23,11,-2.0414,-56.9184,57.65,272,0,3
23,12,-1.9952,-56.1111,57.12,275,0,3
23,13,-2.0120,-56.4518,57.54,279,0,3
23,14,-2.0590,-58.3735,59.14,283,0,3
23,15,-2.0305,-57.2080,58.45,291,0,3
23,16,-2.0515,-57.6348,58.16,292,0,3
23,17,-2.0055,-55.2602,55.78,289,0,3
23,18,-1.9526,-53.6539,54.81,291,0,3
23,19,-1.9129,-53.2547,54.66,294,0,3
23,20,-1.9383,-53.9953,54.91,292,0,3
24,5,-1.7367,-54.2231,56.19,237,0,3
24,6,-1.9067,-57.5717,58.47,245,0,3
24,7,-1.9607,-56.9838,57.55,245,0,3
24,8,-1.9579,-56.3772,57.20,252,0,3
24,9,-1.8925,-55.0320,56.29,254,0,3
24,10,-1.9318,-55.4140,57.22,260,0,3
24,11,-2.0016,-55.7796,56.55,266,0,3
24,12,-1.9553,-54.9952,56.04,269,0,3
24,13,-1.9808,-55.1554,56.27,273,0,3
24,14,-2.0225,-56.9566,57.74,277,0,3
24,15,-2.0083,-56.2816,57.55,285,0,3
24,16,-2.0128,-56.3952,56.94,286,0,3
24,17,-1.9711,-54.5661,55.09,284,0,3
24,18,-1.9103,-52.7153,53.91,286,0,3
24,19,-1.8694,-52.3569,53.79,289,0,3
24,20,-1.9163,-53.4251,54.35,287,0,3
25,5,-1.6903,-52.0769,54.27,232,0,3
25,6,-1.8591,-55.9126,57.05,240,0,3
25,7,-1.9319,-56.0665,56.85,242,0,3
25,8,-1.9225,-55.3002,56.37,248,0,3
25,9,-1.8730,-54.4701,55.83,250,0,3
25,10,-1.9354,-55.5526,57.35,258,0,3
25,11,-2.0075,-55.8965,56.79,264,0,3
25,12,-1.9573,-55.0446,56.21,266,0,3
25,13,-1.9799,-55.1737,56.40,270,0,3
25,14,-2.0121,-56.4804,57.42,273,0,3
25,15,-1.9963,-55.7469,57.18,280,0,3
25,16,-2.0036,-55.8825,56.54,281,0,3
25,17,-1.9560,-53.8775,54.54,279,0,3
25,18,-1.8900,-51.9486,53.31,281,0,3
25,19,-1.8535,-51.6504,53.22,284,0,3
25,20,-1.8892,-52.3004,53.36,282,0,3
26,5,-1.7082,-52.1563,54.32,230,0,3
26,6,-1.8768,-56.6655,57.76,239,0,3
26,7,-1.8871,-55.6368,56.42,238,0,3
26,8,-1.9061,-55.4522,56.49,244,0,3
26,9,-1.8616,-54.6933,56.03,246,0,3
26,10,-1.9117,-55.4093,57.20,255,0,3
26,11,-1.9713,-55.4791,56.37,259,0,3
26,12,-1.9400,-55.0775,56.24,262,0,3
26,13,-1.9578,-55.2152,56.42,266,0,3
26,14,-2.0203,-57.0785,57.99,269,0,3
26,15,-2.0041,-56.3292,57.74,276,0,3
26,16,-2.0055,-56.1522,56.80,277,0,3
26,17,-1.9676,-54.0442,54.69,277,0,3
26,18,-1.8885,-51.7872,53.16,278,0,3
26,19,-1.8560,-51.7516,53.33,281,0,3
26,20,-1.8886,-52.2151,53.28,279,0,3
27,5,-1.7032,-51.7082,53.89,230,0,3
27,6,-1.8725,-56.1239,57.25,239,0,3
27,7,-1.8755,-55.0787,55.88,237,0,3
27,8,-1.8942,-54.8270,56.05,243,0,3
27,9,-1.8560,-54.4471,55.80,246,0,3
27,10,-1.8714,-54.3624,56.64,253,0,3
27,11,-1.9527,-54.8077,55.97,257,0,3
27,12,-1.8988,-54.3084,55.95,260,0,3
27,13,-1.9432,-54.7502,56.30,264,0,3
27,14,-2.0134,-56.8910,57.82,268,0,3
27,15,-1.9970,-56.1228,57.56,275,0,3
27,16,-2.0009,-56.0059,56.65,277,0,3
27,17,-1.9687,-54.0390,54.69,277,0,3
27,18,-1.8842,-51.5964,52.97,278,0,3
27,19,-1.8464,-51.4166,53.01,280,0,3
27,20,-1.8794,-51.9019,52.98,278,0,3
28,5,-1.6803,-51.0100,53.22,219,0,3
28,6,-1.8188,-54.4696,55.63,229,0,3
28,7,-1.8994,-55.1536,55.91,227,0,3
28,8,-1.8937,-54.4384,55.66,233,0,3
28,9,-1.8564,-54.0176,55.35,236,0,3
28,10,-1.8474,-53.6964,55.98,243,0,3
28,11,-1.9352,-54.2720,55.43,248,0,3
28,12,-1.8717,-53.5000,55.14,251,0,3
28,13,-1.9217,-53.7767,55.34,257,0,3
28,14,-1.9680,-55.5776,56.51,261,0,3
28,15,-1.9612,-55.1322,56.56,268,0,3
28,16,-1.9603,-54.9918,55.65,270,0,3
28,17,-1.9197,-52.8567,53.52,270,0,3
28,18,-1.8498,-50.7425,51.93,270,0,3
28,19,-1.7960,-50.0455,51.67,273,0,3
28,20,-1.8675,-51.3099,52.39,272,0,3
29,5,-1.6645,-50.7552,52.97,215,0,3
29,6,-1.8198,-54.6854,55.84,224,0,3
29,7,-1.9007,-55.2790,56.03,222,0,3
29,8,-1.8869,-54.1860,55.41,228,0,3
