ep,cp,window,ret_pct,sharpe,max_dd_pct,trades,win_rate,pass
16,18,2,-38.3848,-1.3567,40.96,101,0.0000,0
16,19,0,-38.3974,-1.3904,51.65,100,0.0000,0
16,19,1,-60.8337,-1.9557,61.47,108,0.0000,0
16,19,2,-30.4772,-1.0844,35.04,95,0.0000,0
16,20,0,-39.7743,-1.2618,47.57,97,0.0000,0
16,20,1,-57.5905,-1.7898,58.80,105,0.0000,0
16,20,2,-29.3317,-0.9992,35.05,92,0.0000,0
17,5,0,-63.4356,-1.8763,64.43,91,0.0000,0
17,5,1,-72.2980,-2.1866,72.95,98,0.0000,0
17,5,2,-35.3522,-1.3580,38.30,87,0.0000,0
17,6,0,-64.8608,-2.0625,65.76,96,0.0000,0
17,6,1,-74.6153,-2.3078,74.81,103,0.0000,0
17,6,2,-38.6341,-1.4956,40.99,89,0.0000,0
17,7,0,-62.3385,-2.0623,63.21,97,0.0000,0
17,7,1,-73.0701,-2.3254,73.43,103,0.0000,0
17,7,2,-39.1756,-1.5511,39.92,88,0.0000,0
17,8,0,-60.0325,-2.0802,60.95,99,0.0000,0
17,8,1,-73.6471,-2.3670,73.91,104,0.0000,0
17,8,2,-40.3084,-1.5087,42.16,89,0.0000,0
17,9,0,-61.1256,-2.1649,61.88,100,0.0000,0
17,9,1,-74.5230,-2.4324,74.72,107,0.0000,0
17,9,2,-40.5822,-1.4374,43.11,90,0.0000,0
17,10,0,-61.3316,-2.1959,62.21,105,0.0000,0
17,10,1,-76.1822,-2.5060,76.41,112,0.0000,0
17,10,2,-39.8344,-1.3974,43.92,91,0.0000,0
17,11,0,-58.4430,-2.1646,59.32,103,0.0000,0
17,11,1,-75.8219,-2.5248,76.12,116,0.0000,0
17,11,2,-41.9345,-1.5809,43.39,93,0.0000,0
17,12,0,-57.7447,-2.1656,58.35,101,0.0000,0
17,12,1,-76.9516,-2.5137,77.23,118,0.0000,0
17,12,2,-41.7810,-1.5672,44.06,96,0.0000,0
17,13,0,-56.2837,-2.1632,56.96,102,0.0000,0
17,13,1,-75.5870,-2.4881,75.86,120,0.0000,0
17,13,2,-43.2327,-1.6453,45.42,95,0.0000,0
17,14,0,-59.7624,-2.1878,60.41,106,0.0000,0
17,14,1,-75.7958,-2.5003,76.00,121,0.0000,0
17,14,2,-45.7559,-1.7258,47.25,97,0.0000,0
17,15,0,-61.8838,-2.2229,63.08,110,0.0000,0
17,15,1,-74.0367,-2.4345,74.28,120,0.0000,0
17,15,2,-41.6977,-1.5547,45.01,99,0.0000,0
17,16,0,-61.9638,-2.2707,62.58,112,0.0000,0
17,16,1,-73.1041,-2.3861,73.39,119,0.0000,0
17,16,2,-44.7576,-1.6738,46.30,98,0.0000,0
17,17,0,-61.0895,-2.2219,61.60,114,0.0000,0
17,17,1,-71.2091,-2.3911,71.51,117,0.0000,0
17,17,2,-42.2535,-1.5927,43.79,100,0.0000,0
17,18,0,-58.2616,-2.1870,58.73,109,0.0000,0
17,18,1,-69.0080,-2.3092,69.66,119,0.0000,0
17,18,2,-39.2987,-1.4373,41.01,100,0.0000,0
17,19,0,-44.9728,-1.5733,53.88,105,0.0000,0
17,19,1,-66.6497,-2.1649,67.14,112,0.0000,0
17,19,2,-37.6305,-1.3712,40.76,100,0.0000,0
17,20,0,-36.1535,-1.4592,53.04,100,0.0000,0
17,20,1,-59.3178,-1.9287,59.93,104,0.0000,0
17,20,2,-29.4126,-1.0308,33.64,93,0.0000,0
18,5,0,-63.5647,-1.8982,64.12,90,0.0000,0
18,5,1,-72.7954,-2.1973,73.43,97,0.0000,0
18,5,2,-35.2824,-1.3458,38.24,85,0.0000,0
18,6,0,-64.6698,-2.0585,65.10,94,0.0000,0
18,6,1,-74.8506,-2.3068,75.04,101,0.0000,0
18,6,2,-40.1407,-1.6017,42.16,87,0.0000,0
18,7,0,-61.8041,-2.0452,62.31,94,0.0000,0
18,7,1,-73.3517,-2.3344,73.70,101,0.0000,0
18,7,2,-40.3790,-1.6317,41.13,86,0.0000,0
18,8,0,-60.6219,-2.0998,61.09,97,0.0000,0
18,8,1,-73.7950,-2.3710,74.05,102,0.0000,0
18,8,2,-41.3621,-1.5883,42.81,87,0.0000,0
18,9,0,-60.2933,-2.1372,60.86,98,0.0000,0
18,9,1,-74.7203,-2.4372,74.92,105,0.0000,0
18,9,2,-41.6894,-1.4948,44.23,88,0.0000,0
18,10,0,-59.7546,-2.1426,60.55,102,0.0000,0
18,10,1,-76.4006,-2.5130,76.63,110,0.0000,0
18,10,2,-41.0820,-1.4656,44.28,89,0.0000,0
18,11,0,-57.2435,-2.1233,58.06,100,0.0000,0
18,11,1,-76.0317,-2.5332,76.32,114,0.0000,0
18,11,2,-43.3034,-1.6853,44.53,91,0.0000,0
18,12,0,-56.7533,-2.1284,57.17,99,0.0000,0
18,12,1,-77.0552,-2.5161,77.33,116,0.0000,0
18,12,2,-43.0675,-1.6702,45.04,94,0.0000,0
18,13,0,-56.2197,-2.1632,56.63,101,0.0000,0
18,13,1,-75.7118,-2.4905,75.98,118,0.0000,0
18,13,2,-43.5380,-1.6647,45.73,93,0.0000,0
18,14,0,-59.2506,-2.1740,59.62,105,0.0000,0
18,14,1,-75.8857,-2.5027,76.09,119,0.0000,0
18,14,2,-46.1754,-1.7484,47.68,95,0.0000,0
18,15,0,-61.1000,-2.2038,62.05,108,0.0000,0
18,15,1,-74.2337,-2.4417,74.47,119,0.0000,0
18,15,2,-43.0266,-1.6521,45.81,97,0.0000,0
18,16,0,-61.1018,-2.2468,61.53,110,0.0000,0
18,16,1,-73.2623,-2.3912,73.54,118,0.0000,0
18,16,2,-46.2498,-1.7732,47.29,96,0.0000,0
18,17,0,-60.1937,-2.1965,60.54,112,0.0000,0
18,17,1,-71.3919,-2.3956,71.69,116,0.0000,0
18,17,2,-43.1767,-1.6546,44.24,98,0.0000,0
18,18,0,-57.8157,-2.1722,58.24,108,0.0000,0
18,18,1,-69.1301,-2.3096,69.78,118,0.0000,0
18,18,2,-40.7449,-1.5353,41.95,98,0.0000,0
18,19,0,-58.5707,-2.1744,58.96,109,0.0000,0
18,19,1,-69.3772,-2.3177,69.84,120,0.0000,0
18,19,2,-40.1421,-1.4986,42.10,99,0.0000,0
18,20,0,-41.1740,-1.5326,53.02,102,0.0000,0
18,20,1,-66.0099,-2.1470,66.48,109,0.0000,0
18,20,2,-40.4139,-1.5149,42.00,97,0.0000,0
19,5,0,-62.6451,-1.8637,63.23,89,0.0000,0
19,5,1,-72.9669,-2.1973,73.60,96,0.0000,0
19,5,2,-35.7533,-1.3373,38.58,85,0.0000,0
19,6,0,-64.2745,-2.0426,64.73,93,0.0000,0
19,6,1,-74.9684,-2.3122,75.16,101,0.0000,0
19,6,2,-40.3247,-1.5912,42.41,86,0.0000,0
19,7,0,-61.0404,-2.0143,61.58,93,0.0000,0
19,7,1,-74.4850,-2.3754,74.66,100,0.0000,0
19,7,2,-40.6005,-1.6223,41.37,86,0.0000,0
19,8,0,-60.3051,-2.0865,60.80,96,0.0000,0
19,8,1,-73.7811,-2.3701,74.04,101,0.0000,0
19,8,2,-41.4919,-1.5818,42.91,87,0.0000,0
19,9,0,-58.9216,-2.0974,59.51,96,0.0000,0
