min_score,depth,cash,accuracy,return
5.4,5,4118.353,0.56239015,0.9118376839420739
5.6,5,6178.3457,0.5855856,1.1746534666964736
5.8,5,4712.8555,0.5828729,0.9991348533620714
6,5,4550.7793,0.61245674,0.976471174021798
6.2,5,5172.7837,0.6171171,1.0594637954434827
6.4,5,4570.3345,0.64,0.9792478174085906
6.6,5,3894.0461,0.6466165,0.8756019486997779
6.8,5,2905.2861,0.6086956,0.6862925690307442
7,5,2771.3748,0.64285713,0.6558284115857571
7.2,5,2452.1602,0.6545454,0.5768683082332915
7.4,5,2328.7046,0.6818182,0.5435558728530854
7.6,5,2312.993,0.74285716,0.5391910018607282
7.8,5,2293.3313,0.8214286,0.5336871037685542
8,5,2061.7485,0.8181818,0.46508099856406027
8.2,5,1822.5236,0.7647059,0.3856537130718207
8.4,5,1672.0111,0.75,0.33018055378446487
8.6,5,1622.3406,0.72727275,0.31077925542715157
8.8,5,1517.313,0.75,0.26773476483572534
9,5,1517.313,0.75,0.26773476483572534
9.2,5,1505.2937,0.8333333,0.26262113936414977
9.4,5,1420.6476,0.8,0.22541620592291256
9.6,5,1420.6476,0.8,0.22541620592291256
9.8,5,1420.6476,0.8,0.22541620592291256
0,6,9876.086,0.51584774,1.2313626352828067
0.2,6,11059.533,0.5164797,1.292607676610058
0.4,6,10822.255,0.5172966,1.280868353909037
0.6,6,6581.256,0.51667684,1.0120208224795313
0.8,6,9509.3545,0.51734966,1.2108937755734184
1,6,13055.614,0.51855934,1.3824645985919037
1.2,6,223374.19,0.5180497,2.9326804944949547
1.4,6,177526.03,0.51861626,2.8063888357746647
1.6,6,188730.53,0.51830363,2.8400192264614654
1.8,6,302810.47,0.5165351,3.1001816004999405
2,6,262859.88,0.5176012,3.022256583502969
2.2,6,674654.06,0.51903707,3.54250558239253
2.4,6,412855.8,0.518225,3.271118932032935
2.6,6,285644.75,0.520515,3.0680330276664947
2.8,6,140965.53,0.5185865,2.6797743167385812
3,6,323129.8,0.5201126,3.1359716566658813
3.2,6,377272.34,0.5206995,3.22138908938292
3.4,6,150618.08,0.51946545,2.716123736128351
3.6,6,68683.73,0.5195106,2.2859978419688343
3.8,6,75264.31,0.52156866,2.3360222744961856
4,6,51140.492,0.52143395,2.1249074985679517
4.2,6,50237.39,0.52715915,2.115184190449626
4.4,6,23505.809,0.5290475,1.701554131222216
4.6,6,5607.9106,0.5294872,0.9256625235047222
4.8,6,4282.7974,0.5335886,0.7803739302037815
5,6,4195.2046,0.535997,0.7692453339289917
5.2,6,4147.652,0.53861874,0.7631066059824887
5.4,6,6220.2383,0.5443656,0.9815707287638364
5.6,6,8159.587,0.5488974,1.1281294407621045
5.8,6,3435.0884,0.54416406,0.6616543570069133
6,6,2916.5215,0.5460299,0.5736587330387177
6.2,6,3522.573,0.55471224,0.6751838878384708
