step,equity
0,1.000000
1,1.000000
2,1.406951
3,1.406951
4,1.406951
5,1.406951
6,1.406951
7,1.406951
8,1.406951
9,1.406951
10,1.406951
11,1.406951
12,1.406951
13,1.406951
14,1.406951
15,1.406951
16,1.406951
17,0.715012
18,0.715012
19,0.715012
20,0.715012
21,0.715012
22,0.715012
23,0.715012
24,0.715012
25,0.715012
26,0.715012
27,0.715012
28,0.715012
29,0.715012
30,0.715012
31,0.715012
32,0.715012
33,0.715012
34,0.715012
35,0.715012
36,0.715012
37,0.715012
38,0.715012
39,0.715012
40,0.715012
41,0.715012
42,0.715012
43,0.715012
44,0.715012
45,0.715012
46,0.715012
47,0.715012
48,0.715012
49,0.715012
50,0.715012
51,0.715012
52,0.715012
53,0.715012
54,0.715012
55,0.715012
56,0.715012
57,0.715012
58,0.715012
59,0.715012
60,0.715012
61,0.715012
62,0.715012
63,0.715012
64,0.715012
65,0.715012
66,0.715012
67,0.715012
68,0.715012
69,0.715012
70,0.715012
71,0.715012
72,0.715012
73,0.715012
74,0.715012
75,0.715012
76,0.641769
77,1.163139
78,1.163139
79,1.163139
80,1.163139
81,1.163139
82,1.163139
83,1.163139
84,1.163139
85,1.163139
86,1.163139
87,1.163139
88,1.163139
89,1.163139
90,1.163139
91,1.225201
92,1.225201
93,1.225201
94,1.225201
95,1.225201
96,1.225201
97,1.225201
98,1.225201
99,1.329438
100,1.329438
101,1.329438
102,1.297237
103,1.297237
104,1.297237
105,1.297237
106,1.297237
107,1.297237
108,1.297237
109,1.197984
110,1.197984
111,1.197984
112,1.197984
113,1.197984
114,1.197984
115,1.197984
116,1.197984
117,1.197984
118,1.197984
119,1.197984
120,1.197984
121,1.197984
122,1.197984
123,1.197984
124,1.197984
125,1.197984
126,1.197984
127,1.197984
