step,equity
0,1.000000
1,1.000000
2,1.406951
3,1.406951
4,1.406951
5,1.406951
6,1.406951
7,1.406951
8,1.406951
9,1.406951
10,1.406951
11,1.406951
12,1.406951
13,1.406951
14,1.406951
15,1.406951
16,1.406951
17,0.715012
18,0.715012
19,0.715012
20,0.715012
21,0.715012
22,0.715012
23,0.715012
24,0.715012
25,0.715012
26,0.715012
27,0.715012
28,0.715012
29,0.715012
30,0.715012
31,0.715012
32,0.715012
33,0.715012
34,0.715012
35,0.715012
36,0.715012
37,0.715012
38,0.715012
39,0.715012
40,0.715012
41,0.715012
42,0.715012
43,0.715012
44,0.715012
45,0.715012
46,0.715012
47,0.715012
48,0.584797
49,0.584797
50,0.584797
51,0.584797
52,0.584797
53,0.584797
54,0.584797
55,0.584797
56,0.584797
57,0.584797
58,0.584797
59,0.584797
60,0.584797
61,0.584797
62,0.584797
63,0.584797
64,0.584797
65,0.584797
66,0.584797
67,0.584797
68,0.584797
69,0.584797
70,0.584797
71,0.584797
72,0.584797
73,0.584797
74,0.584797
75,1.343994
76,1.343994
77,1.343994
78,1.343994
79,1.343994
80,1.343994
81,1.343994
82,1.343994
83,1.343994
84,1.343994
85,1.343994
86,1.343994
87,1.343994
88,1.343994
89,1.343994
90,1.343994
91,1.415705
92,1.415705
93,1.415705
94,1.415705
95,1.415705
96,1.415705
97,1.415705
98,1.415705
99,1.796119
100,1.796119
101,1.796119
102,1.796119
103,1.796119
104,1.796119
105,1.796119
106,1.796119
107,1.796119
108,1.796119
109,1.796119
110,1.796119
111,1.796119
