step,equity
0,1.000000
1,1.000000
2,1.406951
3,1.406951
4,1.136764
5,0.577703
6,0.577703
7,0.577703
8,0.577703
9,0.577703
10,0.577703
11,0.577703
12,0.577703
13,0.577703
14,0.577703
15,0.577703
16,0.577703
17,0.577703
18,0.577703
19,0.577703
20,0.577703
21,0.577703
22,0.577703
23,0.577703
24,0.577703
25,0.577703
26,0.577703
27,0.678576
28,0.678576
29,0.678576
30,0.678576
31,0.678576
32,0.678576
33,0.678576
34,0.678576
35,0.678576
36,0.678576
37,0.678576
38,0.678576
39,0.678576
40,0.678576
41,0.678576
42,0.678576
43,0.678576
44,0.678576
45,0.678576
46,0.678576
47,0.678576
48,0.678576
49,0.678576
50,0.678576
51,0.678576
52,0.609066
53,1.103869
54,1.103869
55,1.103869
56,1.103869
57,1.103869
58,1.103869
59,1.103869
60,1.103869
61,1.103869
62,1.103869
63,1.103869
64,1.345010
65,1.345010
66,1.345010
67,1.345010
68,1.345010
69,1.345010
70,1.345010
71,1.345010
72,1.345010
73,1.345010
74,1.345010
75,1.706427
76,1.706427
77,1.706427
78,1.706427
79,1.706427
80,1.706427
81,2.189247
82,2.189247
