step,equity
0,1.000000
1,1.000000
2,1.406951
3,1.406951
4,1.406951
5,1.406951
6,1.406951
7,1.406951
8,1.406951
9,1.406951
10,1.406951
11,1.406951
12,1.406951
13,1.406951
14,1.406951
15,1.406951
16,1.406951
17,0.715012
18,0.715012
19,0.715012
20,0.715012
21,0.715012
22,0.715012
23,0.715012
24,0.715012
25,0.715012
26,0.715012
27,0.715012
28,0.715012
29,0.715012
30,0.715012
31,0.715012
32,0.715012
33,0.715012
34,0.715012
35,0.715012
36,0.715012
37,0.715012
38,0.715012
39,0.839861
40,0.665563
41,0.665563
42,0.665563
43,0.665563
44,0.665563
45,0.665563
46,0.665563
47,0.665563
48,0.665563
49,0.665563
50,0.665563
51,0.665563
52,0.597385
53,0.597385
54,0.597385
55,0.597385
56,0.597385
57,0.597385
58,0.597385
59,0.597385
60,0.597385
61,0.597385
62,0.597385
63,0.597385
64,0.597385
65,0.605898
66,0.605898
67,0.605898
68,0.605898
69,0.605898
70,0.605898
71,0.605898
72,0.605898
73,0.605898
74,0.605898
75,0.605898
76,0.605898
77,0.605898
78,0.605898
79,0.638226
80,0.638226
81,0.638226
82,0.638226
83,0.638226
84,0.638226
85,0.638226
86,0.638226
87,0.809724
88,0.809724
89,0.809724
90,0.809724
91,0.809724
92,0.809724
93,1.038829
94,1.038829
