step,equity
0,1.000000
1,1.000000
2,1.406951
3,1.406951
4,1.406951
5,1.406951
6,1.406951
7,1.406951
8,1.406951
9,1.406951
10,1.406951
11,1.406951
12,1.406951
13,1.406951
14,1.406951
15,1.406951
16,1.406951
17,0.715012
18,0.715012
19,0.715012
20,0.715012
21,0.715012
22,0.715012
23,0.715012
24,0.715012
25,0.715012
26,0.715012
27,0.715012
28,0.715012
29,0.715012
30,0.715012
31,0.715012
32,0.715012
33,0.715012
34,0.715012
35,0.715012
36,0.715012
37,0.715012
38,0.715012
39,0.839861
40,0.839861
41,0.839861
42,0.839861
43,0.839861
44,0.839861
45,0.839861
46,0.839861
47,0.839861
48,0.839861
49,0.839861
50,0.839861
51,0.839861
52,0.839861
53,0.839861
54,0.839861
55,0.839861
56,0.839861
57,0.839861
58,0.839861
59,0.839861
60,0.839861
61,0.839861
62,0.839861
63,0.839861
64,0.753829
65,0.753829
66,0.753829
67,0.753829
68,0.753829
69,0.753829
70,0.753829
71,0.753829
72,0.753829
73,0.753829
74,0.753829
75,1.617353
76,1.617353
77,1.617353
78,1.617353
79,1.617353
80,1.617353
81,1.617353
82,1.617353
83,1.617353
84,1.617353
85,1.617353
86,1.617353
87,1.617353
88,1.617353
89,1.617353
90,1.617353
91,1.703650
92,1.703650
93,1.703650
94,1.703650
95,1.703650
96,1.703650
97,1.703650
98,1.703650
99,2.161437
100,2.161437
101,2.161437
102,2.161437
103,2.161437
104,2.161437
105,2.772998
106,2.772998
