window,trade_equity,sharpe,dd,trades
0,1.882260,14.0458,9.13,7
1,0.964561,0.7710,35.15,12
2,10.407396,11.1036,16.63,13
3,1.170408,3.0688,39.41,12
4,0.796895,-12.2640,23.72,4
5,1.096168,2.4770,26.09,11
6,1.527687,7.2179,22.02,11
