window,trade_equity,sharpe,dd,trades
0,1.882260,14.0458,9.13,7
1,1.014464,1.3551,35.15,12
2,11.401457,11.5280,16.63,13
3,1.307353,4.2291,39.41,11
4,0.796895,-12.2640,23.72,4
5,0.963103,0.6724,35.01,12
6,1.527687,7.2179,22.02,11
