window,trade_equity,sharpe,dd,trades
0,0.778315,-1.2464,47.73,12
1,1.351852,5.4710,17.36,12
2,4.437207,9.6743,17.42,14
3,0.989029,1.4049,37.31,12
4,1.529430,6.3291,30.22,9
5,1.180979,3.1137,46.31,12
6,1.014040,1.3597,37.79,12
