window,trade_equity,sharpe,dd,trades
0,5.850078,14.0057,25.60,10
1,4.777669,5.7797,35.18,11
2,2.039028,7.5217,25.56,13
3,4.094208,14.9725,16.68,13
4,1.528435,9.0861,12.61,9
5,1.334695,5.1078,26.09,10
6,1.274774,5.9176,24.62,9
