window,trade_equity,sharpe,dd,trades
0,0.755952,-1.0884,47.73,14
1,1.270804,5.0580,17.36,12
2,4.266116,9.4680,17.42,14
3,0.995974,1.4630,36.87,12
4,1.529430,6.3291,30.22,9
5,1.350400,4.4797,37.00,12
6,0.835853,-1.1787,37.79,13
