window,trade_equity,sharpe,dd,trades
0,0.818275,-0.3020,37.05,9
1,1.141331,5.1887,10.62,8
2,8.047969,10.3412,16.63,12
3,1.640799,5.8319,32.88,12
4,0.685460,-6.0135,34.39,7
5,0.702764,-6.4658,31.42,7
6,1.293821,5.9734,17.42,10
