window,trade_equity,sharpe,dd,trades
0,5.850078,14.0057,25.60,10
1,1.182081,4.4811,15.68,10
2,2.052610,7.5905,25.56,13
3,4.094208,14.9725,16.68,13
4,1.528435,9.0861,12.61,9
5,1.334695,5.1078,26.09,10
6,1.747116,18.6667,5.40,9
