window,trade_equity,sharpe,dd,trades
0,3.494892,14.4984,23.57,9
1,1.095530,3.1840,19.89,10
2,1.972729,7.8662,25.56,11
3,3.900768,9.8478,32.88,14
4,1.448788,7.9541,12.61,9
5,1.076011,2.3284,26.09,10
6,1.747116,18.6667,5.40,9
