window,trade_equity,sharpe,dd,trades
0,5.730039,13.8077,27.12,10
1,1.249613,5.5263,15.68,10
2,2.156248,8.2352,25.56,12
3,2.342057,7.0803,29.97,15
4,1.291939,6.0715,23.72,8
5,1.229201,4.1819,26.09,11
6,1.600099,12.4408,8.41,10
