window,trade_equity,sharpe,dd,trades
0,5.730039,13.8077,27.12,10
1,1.249613,5.5263,15.68,10
2,2.213502,8.5854,25.56,12
3,3.204888,8.8554,29.97,15
4,1.291939,6.0715,23.72,8
5,1.079987,2.1757,35.01,12
6,1.374436,8.0319,8.43,10
