window,trade_equity,sharpe,dd,trades
0,1.435582,8.0741,6.33,8
1,1.128774,3.3566,17.31,11
2,9.579536,11.7877,16.63,11
3,3.171681,10.5503,15.66,12
4,0.854520,-4.3796,18.21,5
5,1.021812,1.5465,26.09,9
6,1.303585,6.1548,16.80,10
