window,trade_equity,sharpe,dd,trades
0,1.739498,9.8919,19.08,10
1,0.945580,1.0973,45.59,12
2,10.572727,10.6516,16.63,14
3,1.523616,5.3150,34.96,13
4,0.718321,-5.3108,40.74,7
5,1.297315,4.1404,44.37,11
6,1.668051,9.3673,14.86,10
