window,trade_equity,sharpe,dd,trades
0,0.652868,-3.3703,47.73,12
1,1.267153,5.3743,17.36,11
2,3.849704,10.2439,16.84,11
3,1.463319,5.1175,31.25,12
4,1.475771,5.8999,32.67,9
5,1.473190,6.7350,23.48,11
6,1.167672,3.7297,21.57,11
