window,trade_equity,sharpe,dd,trades
0,5.700423,13.7690,27.12,10
1,1.261417,6.9363,15.68,10
2,2.196913,8.1137,25.56,13
3,2.615088,6.9943,34.01,15
4,1.104317,2.8311,20.38,9
5,1.102558,2.4498,33.70,12
6,1.558626,11.3304,8.41,10
