window,trade_equity,sharpe,dd,trades
0,2.290929,10.9831,20.74,12
1,2.414743,11.6058,14.82,12
2,4.266116,9.4680,17.42,14
3,0.989029,1.4049,37.31,12
4,0.770823,-8.9405,30.22,7
5,1.007650,1.3762,44.88,12
6,1.180951,3.2308,37.79,12
