window,trade_equity,sharpe,dd,trades
0,11.367257,15.2844,27.12,11
1,5.892313,6.0410,31.48,11
2,2.198855,8.5107,25.56,12
3,3.204888,8.8554,29.97,15
4,1.291939,6.0715,23.72,8
5,1.079987,2.1757,35.01,12
6,1.167504,3.8174,24.62,10
