window,trade_equity,sharpe,dd,trades
0,1.564799,7.3587,16.91,12
1,0.860426,0.6097,62.88,13
2,7.293202,14.0989,13.96,13
3,1.164930,3.0377,49.09,12
4,0.637088,-4.3139,43.26,11
5,0.766649,-0.3497,51.98,13
6,1.057600,1.9523,51.29,13
