window,trade_equity,sharpe,dd,trades
0,5.008119,12.9025,27.12,10
1,1.249613,5.5263,15.68,10
2,2.156248,8.2352,25.56,12
3,1.204137,3.1822,39.41,13
4,1.291939,6.0715,23.72,8
5,1.229201,4.1819,26.09,11
6,1.600099,12.4408,8.41,10
