window,trade_equity,sharpe,dd,trades
0,1.868078,8.6501,14.31,13
1,2.148148,9.0463,21.56,13
2,4.266116,9.4680,17.42,14
3,0.995974,1.4630,36.87,12
4,0.644204,-11.9422,35.58,8
5,1.348862,4.4667,37.07,12
6,0.973434,0.9127,37.79,13
