window,trade_equity,sharpe,dd,trades
0,0.826096,-0.4444,47.73,11
1,1.290110,4.4555,24.19,12
2,3.757003,9.7392,16.84,13
3,0.955537,1.1890,38.25,12
4,1.475771,5.8999,32.67,9
5,1.748395,7.6609,23.48,11
6,1.014040,1.3597,37.79,12
