window,trade_equity,sharpe,dd,trades
0,1.096756,2.8221,37.05,10
1,1.130651,3.9660,10.62,8
2,10.572727,10.6516,16.63,14
3,1.523616,5.3150,34.96,13
4,0.709493,-5.1969,40.74,8
5,0.654176,-1.9761,48.71,11
6,1.668051,9.3673,14.86,10
