window,trade_equity,sharpe,dd,trades
0,0.616340,-4.0856,47.73,10
1,1.141744,3.4614,17.36,11
2,3.865841,8.8650,17.42,13
3,0.906922,1.1726,50.84,11
4,1.025829,1.8907,28.14,7
5,1.727803,13.6662,6.77,6
6,1.014797,1.0563,22.16,11
