window,trade_equity,sharpe,dd,trades
0,0.921767,-0.2157,28.86,9
1,1.473214,5.3480,42.61,11
2,14.622168,16.1335,11.63,12
3,1.893097,7.3949,39.50,10
4,1.052352,2.1114,14.19,8
5,1.442110,6.5430,29.40,8
6,1.066376,1.8947,37.30,12
