window,trade_equity,sharpe,dd,trades
0,1.182486,3.4728,20.79,11
1,1.011217,1.6180,52.04,12
2,16.135706,16.9400,10.42,12
3,1.416187,4.6520,45.75,12
4,0.614736,-4.7870,43.26,11
5,0.805659,-0.0319,40.76,11
6,1.057600,1.9523,51.29,13
