window,trade_equity,sharpe,dd,trades
0,11.308504,15.2501,27.12,11
1,2.641132,4.8688,26.02,13
2,2.182376,8.0439,25.56,13
3,2.615088,6.9943,34.01,15
4,1.104317,2.8311,20.38,9
5,1.102558,2.4498,33.70,12
6,1.137244,3.3235,26.58,10
