window,trade_equity,sharpe,dd,trades
0,1.033320,2.0566,37.05,11
1,1.330353,6.9359,10.62,9
2,10.407396,11.1036,16.63,13
3,1.071090,2.2593,30.79,13
4,0.573068,-10.1440,46.39,8
5,0.672099,-1.5984,48.71,13
6,1.527687,7.2179,22.02,11
