window,trade_equity,sharpe,dd,trades
0,1.965233,11.8557,20.74,9
1,1.155499,2.9585,35.15,12
2,10.407396,11.1036,16.63,13
3,1.071090,2.2593,30.79,13
4,0.580199,-10.7027,46.39,7
5,0.879417,0.4275,50.65,14
6,1.527687,7.2179,22.02,11
