window,trade_equity,sharpe,dd,trades
0,2.363821,12.9631,14.31,12
1,1.453141,5.0804,34.20,12
2,3.757003,9.7392,16.84,13
3,0.955537,1.1890,38.25,12
4,0.743779,-10.5551,32.67,7
5,1.719496,7.4267,24.74,11
6,1.180951,3.2308,37.79,12
