window,trade_equity,sharpe,dd,trades
0,1.758588,14.4411,4.70,6
1,1.136177,3.4908,17.31,11
2,8.047969,10.3412,16.63,12
3,1.948431,6.8173,42.63,11
4,0.977863,0.0770,16.43,4
5,1.024800,2.1346,7.99,6
6,1.293821,5.9734,17.42,10
