window,sm_0_30,sm_0_40,sm_0_50,sm_0_55,sm_0_60,sm_0_65,sm_0_70,sm_0_75,sm_0_80,sm_0_85,sm_0_90,sm_0_95,sm_1_00
0,3.199563,3.275765,3.342235,3.371684,3.398539,3.422755,3.444284,3.463084,3.479115,3.492338,3.502717,3.510221,3.514818
1,1.249059,1.348449,1.428265,1.461101,1.489377,1.513210,1.532724,1.548045,1.559302,1.566629,1.570159,1.570031,1.566384
2,1.817190,1.992966,2.170419,2.259306,2.348041,2.436425,2.524253,2.611319,2.697414,2.782325,2.865840,2.947742,3.027817
3,2.462943,2.790382,3.146298,3.335320,3.531919,3.736248,3.948454,4.168686,4.397089,4.633808,4.878983,5.132756,5.395263
4,1.306103,1.326510,1.346141,1.355661,1.364984,1.374106,1.383028,1.391747,1.400262,1.408573,1.416677,1.424573,1.432261
5,1.340603,1.344980,1.349317,1.351471,1.353615,1.355749,1.357873,1.359987,1.362091,1.364185,1.366269,1.368343,1.370407
6,1.040508,1.071278,1.101531,1.116434,1.131171,1.145730,1.160099,1.174263,1.188211,1.201928,1.215401,1.228617,1.241561
