universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
Base5,0,9.38,2.0340,49.19,12,41.67,true
Base5,1,60.77,2.6287,43.53,12,41.67,true
Base5,2,134.52,6.5688,32.65,11,45.45,true
Base5,3,-3.81,1.7764,49.08,13,53.85,false
Base5,4,85.28,15.7008,10.65,7,71.43,true
Base5,5,97.43,9.8399,11.96,9,55.56,true
NoDOGE,0,9.38,2.0340,49.19,12,41.67,true
NoDOGE,1,-30.86,-6.6186,38.00,7,28.57,false
NoDOGE,2,343.80,11.1768,20.74,9,55.56,true
NoDOGE,3,86.68,5.8065,47.19,13,61.54,true
NoDOGE,4,85.28,15.7008,10.65,7,71.43,true
NoDOGE,5,36.01,6.2133,11.96,8,50.00,true
Legacy4,0,58.36,5.7597,30.87,13,53.85,true
Legacy4,1,-41.55,-6.6700,47.59,10,20.00,false
Legacy4,2,139.30,6.7597,24.46,9,55.56,true
Legacy4,3,56.31,5.3667,37.26,11,63.64,true
Legacy4,4,1.41,1.5947,19.78,6,50.00,true
Legacy4,5,16.30,4.0298,28.44,6,50.00,true
Legacy5BNB,0,61.64,6.2133,30.87,13,46.15,true
Legacy5BNB,1,-31.85,-4.2419,43.54,10,30.00,false
Legacy5BNB,2,102.90,5.2678,24.46,10,60.00,true
Legacy5BNB,3,99.79,8.0398,30.50,10,70.00,true
Legacy5BNB,4,45.13,10.3137,16.15,6,66.67,true
Legacy5BNB,5,49.27,13.7674,7.81,6,66.67,true
OldGuardNoBNB,0,138.91,8.9705,30.87,13,53.85,true
OldGuardNoBNB,1,-75.06,-19.2984,75.80,11,9.09,false
OldGuardNoBNB,2,139.30,6.7597,24.46,9,55.56,true
OldGuardNoBNB,3,56.31,5.3667,37.26,11,63.64,true
OldGuardNoBNB,4,1.41,1.5947,19.78,6,50.00,true
OldGuardNoBNB,5,83.74,7.8506,28.44,8,62.50,true
LargeCaps5,0,15.35,2.1177,49.19,13,38.46,true
LargeCaps5,1,-30.86,-6.6186,38.00,7,28.57,false
LargeCaps5,2,343.80,11.1768,20.74,9,55.56,true
LargeCaps5,3,13.69,2.7527,47.19,11,63.64,true
LargeCaps5,4,36.25,7.6238,16.15,7,57.14,true
LargeCaps5,5,36.01,6.2133,11.96,8,50.00,true
Legacy3,0,114.35,6.7996,24.92,13,53.85,true
Legacy3,1,-2.94,0.9873,44.28,10,40.00,false
Legacy3,2,215.28,11.6763,17.69,7,71.43,true
Legacy3,3,279.85,14.3078,18.68,10,80.00,true
Legacy3,4,-28.35,-3.4075,34.39,9,44.44,false
Legacy3,5,-15.61,-1.8163,28.44,7,28.57,false
LowVolume5,0,169.59,7.6128,27.40,14,50.00,true
LowVolume5,1,-54.88,-6.2639,61.92,11,27.27,false
LowVolume5,2,317.64,9.6701,19.81,12,66.67,true
LowVolume5,3,305.22,11.0977,26.24,12,75.00,true
LowVolume5,4,-50.54,-11.9854,50.54,10,30.00,false
LowVolume5,5,63.43,7.2727,14.48,8,50.00,true
OldGuard4,0,218.01,11.9520,15.90,13,61.54,true
OldGuard4,1,-61.22,-8.8489,62.37,12,25.00,false
OldGuard4,2,171.13,8.8729,17.69,9,66.67,true
OldGuard4,3,279.85,14.3078,18.68,10,80.00,true
OldGuard4,4,2.15,1.7433,38.48,10,50.00,true
OldGuard4,5,50.66,5.7562,14.48,9,44.44,true
