hm,global_pass,global_total,pass_rate,avg_sharpe,avg_ret,avg_dd,total_trades,avg_win_rate
5,54,54,100.00,2.1218,234.57,63.37,46.98
8,54,54,100.00,2.3643,733.93,68.56,48.81
10,52,54,96.30,2.6502,1669.25,70.52,48.74
12,52,54,96.30,2.7218,2602.50,72.10,48.00
15,50,54,92.59,2.5301,3674.40,75.15,45.76
18,50,54,92.59,2.1163,4039.68,76.30,44.45
20,50,54,92.59,1.9944,4127.86,76.58,44.12
22,50,54,92.59,1.8547,3841.76,77.20,43.85
25,50,54,92.59,1.7571,3957.25,77.84,43.32
30,50,54,92.59,1.7837,4022.02,78.05,43.30
35,50,54,92.59,1.6713,3884.11,78.06,43.30
40,50,54,92.59,1.6739,3854.51,78.06,43.30
45,50,54,92.59,1.5883,3834.85,78.06,43.30
50,50,54,92.59,1.5883,3834.85,78.06,43.30
60,50,54,92.59,1.5883,3834.85,78.06,43.30
75,50,54,92.59,1.5883,3834.85,78.06,43.30
90,50,54,92.59,1.5883,3834.85,78.06,43.30
120,50,54,92.59,1.5883,3834.85,78.06,43.30
180,50,54,92.59,1.5883,3834.85,78.06,43.30
