vl,universe,window,bar_idx,equity
8,NoDOGE,2,80,2.094234
8,NoDOGE,2,85,2.094234
8,NoDOGE,2,90,2.094234
8,NoDOGE,2,95,2.094234
8,NoDOGE,2,100,2.094234
8,NoDOGE,2,105,2.391687
8,NoDOGE,2,110,2.367051
8,NoDOGE,2,111,2.482281
8,NoDOGE,3,0,1.000000
8,NoDOGE,3,5,0.992395
8,NoDOGE,3,10,1.496097
8,NoDOGE,3,15,1.782871
8,NoDOGE,3,20,2.109094
8,NoDOGE,3,25,2.109094
8,NoDOGE,3,30,1.433252
8,NoDOGE,3,35,1.433252
8,NoDOGE,3,40,2.669432
8,NoDOGE,3,45,2.656577
8,NoDOGE,3,50,2.656577
8,NoDOGE,3,55,2.656577
8,NoDOGE,3,60,2.673349
8,NoDOGE,3,65,2.673349
8,NoDOGE,3,70,2.673349
8,NoDOGE,3,73,2.673349
8,NoDOGE,4,0,1.000000
8,NoDOGE,4,5,1.064632
8,NoDOGE,4,10,1.312729
8,NoDOGE,4,15,1.275325
8,NoDOGE,4,20,1.374563
8,NoDOGE,4,25,1.459740
8,NoDOGE,4,30,1.459740
8,NoDOGE,4,35,1.459740
8,NoDOGE,4,40,1.459740
8,NoDOGE,4,45,1.459740
8,NoDOGE,4,50,1.459740
8,NoDOGE,4,55,1.459740
8,NoDOGE,4,60,1.459740
8,NoDOGE,4,65,1.459740
8,NoDOGE,4,70,1.459740
8,NoDOGE,4,75,1.690091
8,NoDOGE,4,80,1.612482
8,NoDOGE,4,85,1.612482
8,NoDOGE,4,90,1.612482
8,NoDOGE,4,95,1.612482
8,NoDOGE,4,100,1.612482
8,NoDOGE,4,105,1.612482
8,NoDOGE,4,110,1.612482
8,NoDOGE,4,112,1.907232
8,NoDOGE,5,0,1.000000
8,NoDOGE,5,5,1.000000
8,NoDOGE,5,10,1.000000
8,NoDOGE,5,15,1.000000
8,NoDOGE,5,20,1.037412
8,NoDOGE,5,25,1.318547
8,NoDOGE,5,30,1.158591
8,NoDOGE,5,35,1.158591
8,NoDOGE,5,40,1.158591
8,NoDOGE,5,45,1.158591
8,NoDOGE,5,50,1.158591
8,NoDOGE,5,55,1.125481
8,NoDOGE,5,60,1.068295
8,NoDOGE,5,65,1.068295
8,NoDOGE,5,70,1.068295
8,NoDOGE,5,75,1.068295
8,NoDOGE,5,80,0.913840
8,NoDOGE,5,85,0.913840
8,NoDOGE,5,90,0.913840
8,NoDOGE,5,95,0.913840
8,NoDOGE,5,100,0.854713
8,NoDOGE,5,105,0.854713
8,NoDOGE,5,110,0.816968
8,NoDOGE,5,115,0.860302
8,NoDOGE,5,120,0.860302
8,NoDOGE,5,121,0.839332
8,Legacy4,0,0,1.000000
8,Legacy4,0,5,1.000000
8,Legacy4,0,10,1.000000
8,Legacy4,0,15,0.997686
8,Legacy4,0,20,0.997686
8,Legacy4,0,25,0.997686
8,Legacy4,0,30,1.110870
8,Legacy4,0,35,0.995873
8,Legacy4,0,40,0.889213
8,Legacy4,0,45,1.133193
8,Legacy4,0,50,1.049131
8,Legacy4,0,55,1.049131
