mult,universe,pases,avg_sharpe,return_pct,dd_pct,trades
1.50,LargeCaps5,3,4.9219,1276.84,64.45,92
1.50,Legacy3,5,3.2603,1033.47,61.81,123
1.50,LowVolume5,6,18.3043,2032.57,70.43,110
1.50,OldGuard4,4,-5.7770,134.53,61.81,110
1.55,Base5,6,22.9786,820.89,56.33,92
1.55,NoDOGE,3,4.9219,1276.84,64.45,92
1.55,Legacy4,5,4.1618,1061.29,61.81,120
1.55,Legacy5BNB,8,35.6246,2308.38,38.42,122
1.55,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
1.55,LargeCaps5,3,4.9219,1276.84,64.45,92
1.55,Legacy3,5,3.2603,1033.47,61.81,123
1.55,LowVolume5,6,18.3043,2032.57,70.43,110
1.55,OldGuard4,4,-5.7770,134.53,61.81,110
1.60,Base5,6,22.9786,820.89,56.33,92
1.60,NoDOGE,3,4.9219,1276.84,64.45,92
1.60,Legacy4,5,4.1618,1061.29,61.81,120
1.60,Legacy5BNB,8,35.6246,2308.38,38.42,122
1.60,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
1.60,LargeCaps5,3,4.9219,1276.84,64.45,92
1.60,Legacy3,5,3.2603,1033.47,61.81,123
1.60,LowVolume5,6,18.3043,2032.57,70.43,110
1.60,OldGuard4,4,-5.7770,134.53,61.81,110
1.65,Base5,6,22.9786,820.89,56.33,92
1.65,NoDOGE,3,4.9219,1276.84,64.45,92
1.65,Legacy4,5,4.1618,1061.29,61.81,120
1.65,Legacy5BNB,8,35.6246,2308.38,38.42,122
1.65,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
1.65,LargeCaps5,3,4.9219,1276.84,64.45,92
1.65,Legacy3,5,3.2603,1033.47,61.81,123
1.65,LowVolume5,6,18.3043,2032.57,70.43,110
1.65,OldGuard4,4,-5.7770,134.53,61.81,110
1.70,Base5,6,22.9786,820.89,56.33,92
1.70,NoDOGE,3,4.9219,1276.84,64.45,92
1.70,Legacy4,5,4.1618,1061.29,61.81,120
1.70,Legacy5BNB,8,35.6246,2308.38,38.42,122
1.70,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
1.70,LargeCaps5,3,4.9219,1276.84,64.45,92
1.70,Legacy3,5,3.2603,1033.47,61.81,123
