mt,avg_sharpe,avg_ret_pct,avg_max_dd_pct,total_trades,total_wins,avg_win_rate_pct
12,1.1356609439237517,-72.53599718790112,75.17179926465644,170,24,14.117647058823529
11,1.1142703980793465,-63.66179581571699,66.82384181041121,203,27,13.30049261083744
8,1.0505943633581576,-41.751121976546195,60.76424194974761,627,129,20.574162679425836
9,1.0470302958917577,-45.68608501139682,59.29699902066584,499,103,20.64128256513026
7,1.0324887072988838,-40.313391843830665,59.94379181771253,690,146,21.15942028985507
1,1.0123494711580279,-35.65337801108828,61.199244412747454,839,176,20.97735399284863
2,1.0123494711580279,-35.65337801108828,61.199244412747454,839,176,20.97735399284863
3,1.0123494711580279,-35.65337801108828,61.199244412747454,839,176,20.97735399284863
4,1.0123494711580279,-35.65337801108828,61.199244412747454,839,176,20.97735399284863
10,0.9673525275788614,-42.48493467325567,57.14591121005301,373,64,17.158176943699733
6,0.9576319632005642,-38.98680184281992,62.38371736625656,780,163,20.897435897435898
5,0.9573469464342225,-38.26154955965489,62.30147131606372,795,165,20.754716981132077
13,0.9052511907434407,-99.99,99.999363561206,26,2,7.6923076923076925
