universe,window,bar,equity
Base5,0,0,1
Base5,0,1,1
Base5,0,2,1.3071081111900196
Base5,0,3,1.3071081111900196
Base5,0,4,1.3071081111900196
Base5,0,5,1.3071081111900196
Base5,0,6,1.3071081111900196
Base5,0,7,1.3071081111900196
Base5,0,8,1.3071081111900196
Base5,0,9,1.3071081111900196
Base5,0,10,1.3071081111900196
Base5,0,11,1.3071081111900196
Base5,0,12,1.3071081111900196
Base5,0,13,1.3071081111900196
Base5,0,14,1.3071081111900196
Base5,0,15,1.3071081111900196
Base5,0,16,0.7632109721893177
Base5,0,17,0.7632109721893177
Base5,0,18,0.7632109721893177
Base5,0,19,0.7632109721893177
Base5,0,20,0.7632109721893177
Base5,0,21,0.7632109721893177
Base5,0,22,0.7632109721893177
Base5,0,23,0.7632109721893177
Base5,0,24,0.7632109721893177
Base5,0,25,0.7632109721893177
Base5,0,26,0.7632109721893177
Base5,0,27,0.7632109721893177
Base5,0,28,0.7632109721893177
Base5,0,29,0.7632109721893177
Base5,0,30,0.7632109721893177
Base5,0,31,0.7632109721893177
Base5,0,32,0.9021815303723925
Base5,0,33,0.9021815303723925
Base5,0,34,0.9021815303723925
Base5,0,35,0.9021815303723925
Base5,0,36,0.9021815303723925
Base5,0,37,0.9021815303723925
Base5,0,38,0.9021815303723925
Base5,0,39,0.9021815303723925
Base5,0,40,0.9021815303723925
Base5,0,41,0.9021815303723925
Base5,0,42,0.9021815303723925
Base5,0,43,0.9021815303723925
Base5,0,44,0.9021815303723925
Base5,0,45,0.9021815303723925
Base5,0,46,0.9021815303723925
Base5,0,47,0.9021815303723925
Base5,0,48,0.9021815303723925
Base5,0,49,0.9021815303723925
Base5,0,50,0.9021815303723925
Base5,0,51,0.9021815303723925
Base5,0,52,0.9021815303723925
Base5,0,53,0.9021815303723925
Base5,0,54,0.9021815303723925
Base5,0,55,0.9021815303723925
Base5,0,56,0.9021815303723925
Base5,0,57,0.9021815303723925
Base5,0,58,0.9021815303723925
Base5,0,59,0.9021815303723925
Base5,0,60,0.9021815303723925
Base5,0,61,0.9021815303723925
Base5,0,62,0.9021815303723925
Base5,0,63,0.9021815303723925
Base5,0,64,0.9021815303723925
Base5,0,65,0.9021815303723925
Base5,0,66,0.9021815303723925
Base5,0,67,0.9021815303723925
Base5,0,68,1.0074684942584458
Base5,0,69,1.498158272916115
