vl,universe,window,bar_idx,equity
1,NoDOGE,3,55,7.079971
1,NoDOGE,3,60,7.079971
1,NoDOGE,3,65,7.079971
1,NoDOGE,3,67,6.628017
1,NoDOGE,4,0,1.000000
1,NoDOGE,4,5,1.064632
1,NoDOGE,4,10,1.312729
1,NoDOGE,4,15,1.275325
1,NoDOGE,4,20,1.374563
1,NoDOGE,4,25,1.059029
1,NoDOGE,4,30,1.059029
1,NoDOGE,4,35,1.059029
1,NoDOGE,4,40,1.059029
1,NoDOGE,4,45,1.059029
1,NoDOGE,4,50,1.059029
1,NoDOGE,4,55,1.059029
1,NoDOGE,4,60,1.059029
1,NoDOGE,4,65,1.059029
1,NoDOGE,4,70,1.226147
1,NoDOGE,4,75,1.226147
1,NoDOGE,4,80,1.169842
1,NoDOGE,4,85,1.169842
1,NoDOGE,4,90,1.169842
1,NoDOGE,4,95,1.169842
1,NoDOGE,4,100,1.169842
1,NoDOGE,4,105,1.169842
1,NoDOGE,4,109,1.383681
1,NoDOGE,5,0,1.000000
1,NoDOGE,5,5,1.000000
1,NoDOGE,5,10,1.000000
1,NoDOGE,5,15,1.000000
1,NoDOGE,5,20,1.037412
1,NoDOGE,5,25,1.318547
1,NoDOGE,5,30,1.158591
1,NoDOGE,5,35,1.158591
1,NoDOGE,5,40,1.158591
1,NoDOGE,5,45,1.158591
1,NoDOGE,5,50,1.158591
1,NoDOGE,5,55,1.587434
1,NoDOGE,5,60,1.587434
1,NoDOGE,5,65,1.684218
1,NoDOGE,5,70,1.684218
1,NoDOGE,5,75,1.684218
1,NoDOGE,5,80,1.684218
1,NoDOGE,5,85,1.440713
1,NoDOGE,5,90,1.440713
1,NoDOGE,5,95,1.440713
1,NoDOGE,5,100,1.440713
1,NoDOGE,5,105,1.347495
1,NoDOGE,5,110,1.347495
1,NoDOGE,5,115,1.356307
1,NoDOGE,5,120,1.356307
1,NoDOGE,5,125,1.323247
1,Legacy4,0,0,1.000000
1,Legacy4,0,5,1.394578
1,Legacy4,0,10,1.139433
1,Legacy4,0,15,1.139433
1,Legacy4,0,20,1.099008
1,Legacy4,0,25,1.345597
1,Legacy4,0,30,1.110292
1,Legacy4,0,35,1.309970
1,Legacy4,0,40,1.309970
1,Legacy4,0,45,1.309970
1,Legacy4,0,50,1.642639
1,Legacy4,0,55,2.070348
1,Legacy4,0,58,2.731948
1,Legacy4,1,0,1.000000
1,Legacy4,1,5,0.813849
1,Legacy4,1,10,0.829946
1,Legacy4,1,15,0.829946
1,Legacy4,1,20,0.735813
1,Legacy4,1,25,0.735813
1,Legacy4,1,30,0.735813
1,Legacy4,1,35,0.735813
1,Legacy4,1,40,0.735813
1,Legacy4,1,45,0.644138
1,Legacy4,1,50,0.606988
1,Legacy4,1,55,0.502317
1,Legacy4,1,60,0.502317
1,Legacy4,1,65,0.502317
1,Legacy4,1,70,0.502317
1,Legacy4,1,75,0.511017
1,Legacy4,1,80,0.951507
1,Legacy4,1,85,0.951507
1,Legacy4,1,86,0.951507
1,Legacy4,2,0,1.000000
1,Legacy4,2,5,1.000000
1,Legacy4,2,10,1.000000
1,Legacy4,2,15,1.000000
1,Legacy4,2,20,1.000000
1,Legacy4,2,25,0.972612
1,Legacy4,2,30,1.066983
1,Legacy4,2,35,1.066983
1,Legacy4,2,40,1.066983
1,Legacy4,2,45,0.932703
1,Legacy4,2,50,0.932703
1,Legacy4,2,55,0.932703
1,Legacy4,2,60,0.932703
1,Legacy4,2,65,0.932703
1,Legacy4,2,70,0.932703
1,Legacy4,2,75,0.877013
1,Legacy4,2,80,0.856162
1,Legacy4,2,85,0.711816
1,Legacy4,2,90,0.622547
1,Legacy4,2,95,0.473837
1,Legacy4,2,100,0.473837
1,Legacy4,2,105,0.641719
1,Legacy4,2,109,0.561636
1,Legacy4,3,0,1.000000
1,Legacy4,3,5,0.992395
1,Legacy4,3,10,2.295434
1,Legacy4,3,15,2.295434
1,Legacy4,3,20,2.715445
1,Legacy4,3,25,2.715445
1,Legacy4,3,30,2.453456
1,Legacy4,3,35,3.026525
1,Legacy4,3,40,3.606052
1,Legacy4,3,45,3.606052
1,Legacy4,3,50,3.606052
1,Legacy4,3,55,3.606052
1,Legacy4,3,60,3.162173
1,Legacy4,3,65,3.162173
1,Legacy4,3,70,3.162173
1,Legacy4,3,75,3.162173
1,Legacy4,3,80,3.162173
1,Legacy4,3,85,3.162173
1,Legacy4,3,88,2.960314
1,Legacy4,4,0,1.000000
1,Legacy4,4,5,1.064632
1,Legacy4,4,10,0.868868
1,Legacy4,4,15,0.868868
1,Legacy4,4,20,0.742745
1,Legacy4,4,25,0.759908
1,Legacy4,4,30,0.760376
1,Legacy4,4,35,0.760376
1,Legacy4,4,40,0.760376
1,Legacy4,4,45,0.760376
1,Legacy4,4,50,0.760376
1,Legacy4,4,55,0.760376
1,Legacy4,4,60,0.754597
1,Legacy4,4,65,0.754597
1,Legacy4,4,70,0.754597
1,Legacy4,4,75,0.754597
