hold_max,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
1,Base5,0,97.20587808580686,3.4944766398109834,95.42647020805579,130,53.07692307692308,true
2,Base5,0,104.47218497686137,3.3377702932223268,95.10984230615387,89,53.93258426966292,true
3,Base5,0,108.44958775837155,3.040673198348273,94.98817050993226,72,55.55555555555556,true
4,Base5,0,109.3748459425124,3.070014828953569,94.9188704726396,64,54.6875,true
5,Base5,0,135.4163493375139,2.652112066892743,94.31637937177442,61,57.377049180327866,true
6,Base5,0,131.34277176217952,2.609812222805901,94.38263450024316,53,52.83018867924528,true
7,Base5,0,135.34757804189948,2.7962931051624174,94.25827132859527,53,56.60377358490566,true
8,Base5,0,116.55493183965274,2.9312419893524075,94.76368642107607,54,  50,true
9,Base5,0,114.63524245467784,2.911352208924934,94.67206440154516,52,  50,true
10,Base5,0,119.90893082682214,2.7175592957524395,94.63421900481124,50,  50,true
11,Base5,0,123.05865378742205,2.7101061751704414,94.63421900481124,49,46.93877551020408,true
12,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
13,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
14,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
15,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
16,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
17,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
18,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
19,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
20,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
21,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
22,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
23,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
24,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
25,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
26,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
27,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
28,Base5,0,120.48385221942337,2.718186779927427,94.63421900481124,47,48.93617021276596,true
29,Base5,0,120.48385221942337,2.718186779927427,94.63421900481124,47,48.93617021276596,true
30,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
31,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
32,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
33,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
34,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
35,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
36,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
37,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
38,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
39,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
40,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
41,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
42,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
43,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
44,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
45,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
46,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
47,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
48,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
49,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
50,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
51,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
52,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
53,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
54,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
55,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
56,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
57,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
58,Base5,0,120.48385221942337,2.7181867799274264,94.63421900481124,47,48.93617021276596,true
59,Base5,0,120.48385221942337,2.718186779927427,94.63421900481124,47,48.93617021276596,true
