atr_mult,pass_count,total_count,pass_rate_pct,positive_universes,avg_sharpe,avg_ret_pct,worst_dd_pct,total_trades,avg_win_rate_pct
0.5,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
0.6,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
0.7,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
0.8,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
0.9,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
1.0,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
1.1,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
1.2,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
1.3,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
1.4,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
1.5,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
1.6,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
1.7,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
1.8,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
1.9,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
2.0,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
2.1,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
2.2,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
2.3,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
2.4,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
2.5,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
2.6,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
2.7,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
2.8,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
2.9,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
3.0,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
3.1,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
3.2,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
3.3,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
3.4,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
3.5,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
3.6,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
3.7,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
3.8,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
3.9,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
4.0,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
4.1,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
4.2,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
4.3,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
4.4,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
4.5,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
4.6,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
4.7,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
4.8,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
4.9,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
5.0,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
