atr_entry_mult,universe,window_idx,bar_step,equity
0.00,Base5,0,0,1.00000000
0.00,Base5,0,1,1.00000000
0.00,Base5,0,2,1.30972494
0.00,Base5,0,3,1.00419035
0.00,Base5,0,4,1.00419035
0.00,Base5,0,5,1.00419035
0.00,Base5,0,6,1.00419035
0.00,Base5,0,7,1.00419035
0.00,Base5,0,8,0.95460408
0.00,Base5,0,9,0.95460408
0.00,Base5,0,10,0.95460408
0.00,Base5,0,11,0.95460408
0.00,Base5,0,12,0.95460408
0.00,Base5,0,13,0.95460408
0.00,Base5,0,14,0.95460408
0.00,Base5,0,15,0.95460408
0.00,Base5,0,16,0.95460408
0.00,Base5,0,17,0.95460408
0.00,Base5,0,18,0.95460408
0.00,Base5,0,19,0.95460408
0.00,Base5,0,20,0.95460408
0.00,Base5,0,21,0.95460408
0.00,Base5,0,22,0.95460408
0.00,Base5,0,23,0.95460408
0.00,Base5,0,24,0.95460408
0.00,Base5,0,25,0.95460408
0.00,Base5,0,26,0.95460408
0.00,Base5,0,27,0.95460408
0.00,Base5,0,28,0.95460408
0.00,Base5,0,29,0.95460408
0.00,Base5,0,30,0.95460408
0.00,Base5,0,31,0.95460408
0.00,Base5,0,32,0.95460408
0.00,Base5,0,33,0.95460408
0.00,Base5,0,34,0.95460408
0.00,Base5,0,35,0.95460408
0.00,Base5,0,36,0.95460408
0.00,Base5,0,37,0.95460408
0.00,Base5,0,38,0.95460408
0.00,Base5,0,39,0.95460408
0.00,Base5,0,40,0.95460408
0.00,Base5,0,41,0.95460408
0.00,Base5,0,42,0.95460408
0.00,Base5,0,43,0.95460408
0.00,Base5,0,44,0.95460408
0.00,Base5,0,45,0.95460408
0.00,Base5,0,46,0.95460408
0.00,Base5,0,47,0.95460408
0.00,Base5,0,48,0.84192780
0.00,Base5,0,49,0.84192780
0.00,Base5,0,50,0.84192780
0.00,Base5,0,51,0.84192780
0.00,Base5,0,52,0.84192780
0.00,Base5,0,53,0.75628238
0.00,Base5,0,54,0.75628238
0.00,Base5,0,55,0.75628238
0.00,Base5,0,56,0.75628238
0.00,Base5,0,57,0.75628238
0.00,Base5,0,58,0.75628238
0.00,Base5,0,59,0.75628238
0.00,Base5,0,60,0.75628238
0.00,Base5,0,61,0.75628238
0.00,Base5,0,62,0.72229216
0.00,Base5,0,63,1.34404281
0.00,Base5,0,64,1.34404281
0.00,Base5,0,65,1.32746209
0.00,Base5,0,66,1.64382520
0.00,Base5,0,67,1.64382520
0.00,Base5,0,68,1.64382520
0.00,Base5,0,69,1.64382520
0.00,Base5,0,70,1.64382520
0.00,Base5,0,71,1.64382520
0.00,Base5,0,72,1.64382520
0.00,Base5,0,73,1.64382520
0.00,Base5,0,74,1.64382520
0.00,Base5,0,75,1.69664582
0.00,Base5,0,76,1.75520927
0.00,Base5,0,77,2.20927991
0.00,Base5,0,78,2.20927991
0.00,Base5,0,79,1.87161331
0.00,Base5,0,80,2.06950096
0.00,Base5,0,81,1.81678102
0.00,Base5,0,82,1.81678102
0.00,Base5,0,83,1.81678102
0.00,Base5,0,84,1.81678102
0.00,Base5,0,85,1.81678102
0.00,Base5,0,86,1.81678102
0.00,Base5,0,87,1.81678102
0.00,Base5,0,88,1.81678102
0.00,Base5,0,89,1.81678102
0.00,Base5,0,90,1.81678102
0.00,Base5,0,91,1.81678102
0.00,Base5,0,92,2.55761113
0.00,Base5,1,0,1.00000000
0.00,Base5,1,1,1.03878746
0.00,Base5,1,2,1.03878746
0.00,Base5,1,3,1.03878746
0.00,Base5,1,4,1.03878746
0.00,Base5,1,5,1.03878746
0.00,Base5,1,6,1.03878746
0.00,Base5,1,7,1.03878746
0.00,Base5,1,8,1.03878746
0.00,Base5,1,9,1.03878746
0.00,Base5,1,10,1.03878746
0.00,Base5,1,11,1.03878746
0.00,Base5,1,12,1.03878746
0.00,Base5,1,13,1.03878746
0.00,Base5,1,14,1.03878746
0.00,Base5,1,15,1.03878746
0.00,Base5,1,16,1.03878746
0.00,Base5,1,17,1.03878746
0.00,Base5,1,18,1.03878746
0.00,Base5,1,19,1.03878746
0.00,Base5,1,20,1.03878746
0.00,Base5,1,21,1.03878746
0.00,Base5,1,22,1.03878746
0.00,Base5,1,23,1.03878746
0.00,Base5,1,24,1.03878746
0.00,Base5,1,25,1.03878746
0.00,Base5,1,26,1.03878746
0.00,Base5,1,27,1.03878746
0.00,Base5,1,28,1.03878746
0.00,Base5,1,29,1.03878746
0.00,Base5,1,30,1.03878746
0.00,Base5,1,31,1.03878746
0.00,Base5,1,32,0.87163646
0.00,Base5,1,33,0.87163646
0.00,Base5,1,34,0.87163646
0.00,Base5,1,35,0.87163646
0.00,Base5,1,36,0.87163646
0.00,Base5,1,37,0.87163646
0.00,Base5,1,38,0.87163646
0.00,Base5,1,39,0.87163646
0.00,Base5,1,40,0.87163646
0.00,Base5,1,41,0.87163646
0.00,Base5,1,42,0.87163646
0.00,Base5,1,43,0.87163646
0.00,Base5,1,44,0.87163646
0.00,Base5,1,45,0.87163646
0.00,Base5,1,46,0.87163646
0.00,Base5,1,47,0.87163646
0.00,Base5,1,48,0.87163646
0.00,Base5,1,49,1.09626862
0.00,Base5,1,50,1.09626862
0.00,Base5,1,51,1.09626862
0.00,Base5,1,52,1.09626862
0.00,Base5,1,53,1.09626862
0.00,Base5,1,54,1.09626862
0.00,Base5,1,55,1.17069365
0.00,Base5,1,56,1.17069365
0.00,Base5,1,57,1.23533117
0.00,Base5,1,58,1.23533117
0.00,Base5,1,59,1.23533117
0.00,Base5,1,60,1.23533117
0.00,Base5,1,61,1.23533117
0.00,Base5,1,62,1.23533117
0.00,Base5,1,63,1.23533117
0.00,Base5,1,64,1.23533117
0.00,Base5,1,65,1.23533117
0.00,Base5,1,66,1.23533117
0.00,Base5,1,67,1.23533117
0.00,Base5,1,68,1.23533117
0.00,Base5,1,69,1.23533117
0.00,Base5,1,70,1.23533117
0.00,Base5,1,71,1.23533117
0.00,Base5,1,72,1.23533117
0.00,Base5,1,73,1.23533117
0.00,Base5,1,74,1.23533117
0.00,Base5,1,75,1.23533117
0.00,Base5,1,76,1.23533117
0.00,Base5,1,77,1.23533117
0.00,Base5,1,78,1.23533117
0.00,Base5,1,79,1.23533117
0.00,Base5,1,80,1.23533117
0.00,Base5,1,81,1.23533117
0.00,Base5,1,82,1.23533117
0.00,Base5,1,83,1.32589336
0.00,Base5,1,84,1.32589336
0.00,Base5,1,85,1.32589336
0.00,Base5,1,86,1.32589336
0.00,Base5,1,87,8.41804672
0.00,Base5,1,88,8.41804672
0.00,Base5,1,89,8.41804672
0.00,Base5,1,90,8.41804672
0.00,Base5,1,91,8.41804672
0.00,Base5,1,92,8.41804672
0.00,Base5,1,93,8.41804672
0.00,Base5,1,94,8.41804672
0.00,Base5,1,95,8.41804672
0.00,Base5,1,96,8.41804672
0.00,Base5,1,97,8.41804672
0.00,Base5,1,98,8.41804672
0.00,Base5,1,99,8.41804672
