symbol,entry_bar,exit_bar,entry_date,exit_date,bars_held,entry_price,exit_price,size,pct_ret,equity_mult,exit_reason,hedge_active
ADAUSDT,1177,1178,2023-11-01 00:00:00,2023-11-02 00:00:00,1,0.30710000,0.32300000,0.133333,0.0509335829,1.0067911444,TURTLE_ATR,true
XRPUSDT,1179,1182,2023-11-03 00:00:00,2023-11-06 00:00:00,3,0.61210000,0.71480000,0.133333,0.1668491891,1.0222465585,TURTLE_ATR,true
ADAUSDT,1179,1182,2023-11-03 00:00:00,2023-11-06 00:00:00,3,0.32920000,0.36240000,0.133333,0.0999702185,1.0133293625,TURTLE_ATR,true
ETHUSDT,1177,1185,2023-11-01 00:00:00,2023-11-09 00:00:00,8,1846.99000000,2121.32000000,0.133333,0.1476096907,1.0196812921,TURTLE_ATR,true
DOGEUSDT,1182,1185,2023-11-06 00:00:00,2023-11-09 00:00:00,3,0.07637000,0.07357000,0.133333,-0.0374339723,0.9950088037,TURTLE_ATR,true
SOLUSDT,1185,1186,2023-11-09 00:00:00,2023-11-10 00:00:00,1,45.29000000,56.67000000,0.133333,0.2502689805,1.0333691974,TURTLE_ATR,true
ADAUSDT,1185,1189,2023-11-09 00:00:00,2023-11-13 00:00:00,4,0.36840000,0.35680000,0.133333,-0.0322620138,0.9956983982,TURTLE_ATR,true
BTCUSDT,1184,1190,2023-11-08 00:00:00,2023-11-14 00:00:00,6,35624.72000000,35551.19000000,0.133333,-0.0028620458,0.9996183939,TURTLE_ATR,true
DOGEUSDT,1187,1190,2023-11-11 00:00:00,2023-11-14 00:00:00,3,0.07849000,0.07244000,0.133333,-0.0778179237,0.9896242768,TURTLE_ATR,true
SOLUSDT,1190,1191,2023-11-14 00:00:00,2023-11-15 00:00:00,1,56.81000000,65.43000000,0.133333,0.1508128310,1.0201083775,TURTLE_ATR,true
DOGEUSDT,1192,1195,2023-11-16 00:00:00,2023-11-19 00:00:00,3,0.07947000,0.08046000,0.133333,0.0116478890,1.0015530519,TURTLE_ATR,true
BTCUSDT,1191,1203,2023-11-15 00:00:00,2023-11-27 00:00:00,12,37858.20000000,37242.70000000,0.133333,-0.0170447155,0.9977273713,HOLD_MAX,true
BTCUSDT,1207,1211,2023-12-01 00:00:00,2023-12-05 00:00:00,4,38682.52000000,44073.32000000,0.133333,0.1384489801,1.0184598640,TURTLE_ATR,true
ADAUSDT,1199,1211,2023-11-23 00:00:00,2023-12-05 00:00:00,12,0.38730000,0.42570000,0.133333,0.0982689806,1.0131025307,HOLD_MAX,true
DOGEUSDT,1211,1212,2023-12-05 00:00:00,2023-12-06 00:00:00,1,0.09435000,0.09493000,0.133333,0.0053427278,1.0007123637,TURTLE_ATR,true
ADAUSDT,1212,1214,2023-12-06 00:00:00,2023-12-08 00:00:00,2,0.44290000,0.54540000,0.133333,0.2304444671,1.0307259289,TURTLE_ATR,true
ETHUSDT,1207,1217,2023-12-01 00:00:00,2023-12-11 00:00:00,10,2087.24000000,2225.12000000,0.133333,0.0652060212,1.0086941362,TURTLE_ATR,true
SOLUSDT,1213,1217,2023-12-07 00:00:00,2023-12-11 00:00:00,4,67.74000000,70.25000000,0.133333,0.0362241286,1.0048298838,TURTLE_ATR,true
ADAUSDT,1219,1222,2023-12-13 00:00:00,2023-12-16 00:00:00,3,0.66750000,0.60780000,0.133333,-0.0901663604,0.9879778186,TURTLE_ATR,true
SOLUSDT,1220,1224,2023-12-14 00:00:00,2023-12-18 00:00:00,4,75.68000000,74.42000000,0.133333,-0.0174354148,0.9976752780,TURTLE_ATR,true
SOLUSDT,1226,1227,2023-12-20 00:00:00,2023-12-21 00:00:00,1,82.21000000,93.84000000,0.133333,0.1405541664,1.0187405555,TURTLE_ATR,true
SOLUSDT,1228,1229,2023-12-22 00:00:00,2023-12-23 00:00:00,1,97.90000000,107.88000000,0.133333,0.1010595557,1.0134746074,TURTLE_ATR,true
SOLUSDT,1231,1232,2023-12-25 00:00:00,2023-12-26 00:00:00,1,120.91000000,112.49000000,0.133333,-0.0703825657,0.9906156579,TURTLE_ATR,true
BTCUSDT,1238,1240,2024-01-01 00:00:00,2024-01-03 00:00:00,2,44179.55000000,42845.23000000,0.133333,-0.0309777370,0.9958696351,TURTLE_ATR,true
ETHUSDT,1233,1240,2023-12-27 00:00:00,2024-01-03 00:00:00,7,2378.35000000,2209.72000000,0.133333,-0.0716450771,0.9904473231,TURTLE_ATR,true
BTCUSDT,1245,1249,2024-01-08 00:00:00,2024-01-12 00:00:00,4,46951.04000000,42782.73000000,0.133333,-0.0895086136,0.9880655182,TURTLE_ATR,true
