slip_bps,bar,equity_mean,equity_min,equity_max
10,4,0.988463,0.762238,1.147509
10,5,1.017499,0.762238,1.391791
10,6,1.031840,0.762238,1.768435
10,7,1.040448,0.678307,2.045206
10,8,1.084506,0.678307,3.036012
10,9,1.109507,0.678307,2.951697
10,10,1.106800,0.678307,3.227886
10,11,1.118706,0.678307,3.441954
10,12,1.110354,0.678307,3.186221
10,13,1.124346,0.678307,1.917616
10,14,1.118725,0.678307,1.917616
10,15,1.103950,0.640310,2.940429
10,16,1.130039,0.518674,2.226324
10,17,1.139139,0.719456,2.226324
10,18,1.158592,0.719456,2.609984
10,19,1.159279,0.711010,2.669424
10,20,1.148780,0.711010,2.669424
10,21,1.203485,0.695627,3.291353
10,22,1.198573,0.695260,2.914829
10,23,1.200428,0.544030,2.914829
10,24,1.208263,0.544030,2.914829
10,25,1.221340,0.631557,3.022581
10,26,1.218152,0.631557,3.382323
10,27,1.238682,0.631557,4.053391
10,28,1.217889,0.631557,3.382323
10,29,1.227322,0.631557,3.382323
10,30,1.285676,0.579097,5.106955
10,31,1.273759,0.579097,5.106955
10,32,1.254978,0.579097,4.469379
10,33,1.241362,0.579097,3.767264
10,34,1.251293,0.579097,3.767264
10,35,1.259025,0.579097,3.767264
10,36,1.271257,0.579097,4.866003
10,37,1.300503,0.579097,5.445146
10,38,1.336297,0.559538,5.445146
10,39,1.339215,0.559538,5.445146
10,40,1.332585,0.446702,5.445146
10,41,1.293183,0.446702,4.954384
10,42,1.311491,0.446702,4.954384
10,43,1.322370,0.376507,5.162828
10,44,1.335112,0.376507,5.162828
10,45,1.337994,0.376507,5.162828
10,46,1.374669,0.376507,5.162828
10,47,1.416771,0.282409,5.162828
10,48,1.423901,0.282409,5.843023
10,49,1.406899,0.282409,5.162828
10,50,1.409923,0.282409,5.162828
10,51,1.419319,0.282409,5.162828
10,52,1.427591,0.282409,5.162828
10,53,1.391526,0.282409,5.162828
10,54,1.378879,0.282409,5.162828
10,55,1.393337,0.282409,5.162828
10,56,1.409761,0.282409,5.162828
10,57,1.388509,0.282409,5.162828
10,58,1.389662,0.282409,5.162828
10,59,1.421263,0.259241,5.162828
10,60,1.447593,0.259241,5.162828
10,61,1.458879,0.259241,4.823599
10,62,1.416224,0.259241,4.124783
10,63,1.442535,0.259241,4.124783
10,64,1.483500,0.259241,5.255565
10,65,1.486824,0.259241,5.225247
10,66,1.521416,0.259241,5.225247
10,67,1.518987,0.259241,5.225247
10,68,1.515805,0.259241,5.225247
10,69,1.519371,0.259241,5.225247
10,70,1.530634,0.259241,5.225247
10,71,1.521309,0.245531,5.225247
10,72,1.601569,0.245531,5.225247
10,73,1.611123,0.245531,5.225247
10,74,1.662621,0.245531,5.225247
10,75,1.700072,0.267510,5.225247
10,76,1.697924,0.330320,5.225247
10,77,1.720210,0.349106,5.225247
10,78,1.792070,0.349106,5.225247
10,79,1.775313,0.349106,5.225247
10,80,1.843547,0.349106,5.225247
10,81,1.820696,0.349106,5.225247
10,82,1.829839,0.349106,4.881917
10,83,1.626675,0.349106,4.456642
10,84,1.614524,0.334842,4.456642
10,85,1.630326,0.541259,4.456642
10,86,1.644004,0.541259,4.456642
10,87,1.814425,0.541259,8.185611
10,88,1.815456,0.541259,8.185611
10,89,1.810919,0.541259,8.185611
10,90,1.812026,0.541259,8.185611
10,91,1.782716,0.541259,8.185611
10,92,1.807677,0.541259,8.185611
10,93,1.774053,0.541259,8.185611
10,94,1.772998,0.541259,8.185611
10,95,1.822239,0.541259,8.185611
10,96,1.834678,0.485252,8.185611
10,97,1.699173,0.485252,8.185611
10,98,1.685323,0.485252,8.185611
10,99,1.711462,0.485252,8.185611
10,100,1.699228,0.485252,8.185611
10,101,1.788340,0.485252,9.487930
10,102,1.797790,0.485252,9.487930
10,103,1.817089,0.485252,9.487930
10,104,1.765675,0.485252,9.487930
10,105,1.768642,0.485252,9.487930
10,106,1.811182,0.485252,9.487930
10,107,1.842920,0.485252,9.487930
10,108,1.982431,0.432074,9.487930
10,109,2.061489,0.432074,9.487930
10,110,1.691125,0.432074,9.487930
10,111,1.691125,0.432074,9.487930
10,112,1.691125,0.432074,9.487930
10,113,1.681575,0.380627,9.487930
10,114,1.743789,0.814272,9.487930
10,115,1.797761,0.831022,9.487930
10,116,1.839031,0.836297,9.487930
10,117,1.888039,0.836297,9.487930
10,118,1.961381,0.836297,9.487930
10,119,1.700770,0.836297,9.487930
10,120,1.745034,0.836297,9.487930
10,121,1.583668,0.836297,9.487930
10,122,1.652676,0.686541,10.599579
10,123,1.652676,0.686541,10.599579
10,124,1.646082,0.686541,10.599579
10,125,1.740230,0.686541,10.599579
10,126,1.740230,0.686541,10.599579
10,127,1.870269,0.686541,10.599579
10,128,1.850846,0.686541,10.599579
10,129,1.850846,0.686541,10.599579
10,130,1.850846,0.686541,10.599579
10,131,1.895899,0.686541,11.095163
10,132,1.836158,0.686541,10.438013
10,133,1.846035,0.686541,10.438013
10,134,1.952752,0.686541,10.438013
10,135,1.019888,0.776025,1.308411
10,136,1.050371,0.836297,1.308411
10,137,1.077934,0.842786,1.382904
10,138,1.034367,0.842786,1.308411
10,139,1.020531,0.814303,1.308411
10,140,1.021355,0.814303,1.308411
10,141,1.050155,0.814303,1.308411
10,142,1.065460,0.814303,1.308411
10,143,1.054994,0.814303,1.308411
10,144,1.070553,0.814303,1.308411
10,145,1.070553,0.814303,1.308411
10,146,1.139529,0.814303,1.308411
10,147,1.139529,0.814303,1.308411
10,148,1.139529,0.814303,1.308411
10,149,1.139529,0.814303,1.308411
10,150,1.190378,0.814303,1.448418
10,151,1.061357,0.814303,1.308411
10,152,1.061357,0.814303,1.308411
10,153,1.061357,0.814303,1.308411
10,154,1.061357,0.814303,1.308411
10,155,1.061357,0.814303,1.308411
10,156,1.061357,0.814303,1.308411
10,157,1.061357,0.814303,1.308411
10,158,1.061357,0.814303,1.308411
10,159,1.061357,0.814303,1.308411
10,160,1.061357,0.814303,1.308411
10,161,1.308411,1.308411,1.308411
10,162,1.462434,1.462434,1.462434
30,0,1.000000,1.000000,1.000000
30,1,0.991671,0.883417,1.030510
30,2,1.007247,0.759195,1.299289
30,3,0.981482,0.759195,1.088481
30,4,0.985139,0.759195,1.129295
30,5,1.013308,0.759195,1.386235
30,6,1.027059,0.759195,1.754344
30,7,1.034410,0.672902,2.028909
30,8,1.077187,0.672902,2.987822
30,9,1.100790,0.672902,2.893249
30,10,1.097180,0.672902,3.151339
30,11,1.107455,0.672902,3.346916
30,12,1.098097,0.672902,3.085876
30,13,1.110988,0.672902,1.849809
30,14,1.104567,0.672902,1.849809
30,15,1.088973,0.632673,2.893756
30,16,1.113474,0.510442,2.182240
30,17,1.122093,0.705210,2.182240
30,18,1.139665,0.705210,2.537917
30,19,1.139571,0.699725,2.606120
30,20,1.128762,0.699725,2.606120
30,21,1.180721,0.687330,3.200473
30,22,1.175302,0.678773,2.823031
30,23,1.176285,0.529008,2.823031
30,24,1.183397,0.529008,2.823031
30,25,1.195370,0.611667,2.869423
30,26,1.191070,0.611667,3.198118
30,27,1.210279,0.611667,3.848001
30,28,1.189770,0.611667,3.198118
30,29,1.198641,0.611667,3.198118
30,30,1.253518,0.558620,4.809548
30,31,1.241179,0.558620,4.809548
30,32,1.222003,0.558620,4.192299
30,33,1.208594,0.558620,3.519604
30,34,1.217641,0.558620,3.519604
30,35,1.224828,0.558620,3.519604
30,36,1.235343,0.558620,4.637951
30,37,1.262628,0.558620,5.169233
30,38,1.296397,0.537598,5.169233
30,39,1.298697,0.537598,5.169233
30,40,1.291793,0.427473,5.169233
30,41,1.254834,0.427473,4.684562
30,42,1.271626,0.427473,4.684562
30,43,1.280528,0.358862,4.862167
30,44,1.291785,0.358862,4.862167
30,45,1.293537,0.358862,4.862167
30,46,1.327975,0.358862,4.862167
30,47,1.367225,0.268099,4.862167
30,48,1.372982,0.268099,5.591503
30,49,1.356072,0.268099,4.862167
30,50,1.358762,0.268099,4.862167
30,51,1.367306,0.268099,4.862167
30,52,1.374836,0.268099,4.862167
30,53,1.341235,0.268099,4.862167
30,54,1.328742,0.268099,4.862167
30,55,1.342289,0.268099,4.862167
30,56,1.358776,0.268099,4.862167
30,57,1.337713,0.268099,4.862167
30,58,1.338519,0.268099,4.862167
30,59,1.368495,0.245123,4.862167
30,60,1.393017,0.245123,4.862167
30,61,1.403041,0.245123,4.524559
30,62,1.363086,0.245123,3.915775
30,63,1.389586,0.245123,3.915775
30,64,1.429059,0.245123,5.009255
30,65,1.432155,0.245123,4.960477
30,66,1.464694,0.245123,4.960477
30,67,1.461954,0.245123,4.960477
30,68,1.458293,0.245123,4.960477
30,69,1.461516,0.245123,4.960477
30,70,1.471582,0.245123,4.960477
30,71,1.461790,0.231232,4.960477
30,72,1.538201,0.231232,4.960477
30,73,1.546846,0.231232,4.960477
30,74,1.595266,0.231232,4.960477
30,75,1.630587,0.250926,4.960477
30,76,1.627745,0.308605,4.960477
30,77,1.648525,0.324853,4.960477
30,78,1.716925,0.324853,4.960477
30,79,1.700375,0.324853,4.960477
30,80,1.766176,0.324853,4.960477
30,81,1.744017,0.324853,4.960477
30,82,1.751585,0.324853,4.616042
30,83,1.562463,0.324853,4.281894
30,84,1.550163,0.310337,4.281894
30,85,1.565181,0.517960,4.281894
30,86,1.578257,0.517960,4.281894
30,87,1.743486,0.517960,7.959592
30,88,1.744264,0.517960,7.959592
30,89,1.740732,0.517960,7.959592
30,90,1.741369,0.517960,7.959592
30,91,1.713193,0.517960,7.959592
30,92,1.735575,0.517960,7.959592
30,93,1.706074,0.517960,7.959592
30,94,1.704914,0.517960,7.959592
30,95,1.751118,0.517960,7.959592
30,96,1.761385,0.462510,7.959592
30,97,1.635364,0.462510,7.959592
30,98,1.621191,0.462510,7.959592
30,99,1.648262,0.462510,7.959592
30,100,1.636173,0.462510,7.959592
30,101,1.723362,0.462510,9.189121
30,102,1.732110,0.462510,9.189121
30,103,1.749812,0.462510,9.189121
30,104,1.700754,0.462510,9.189121
30,105,1.703441,0.462510,9.189121
30,106,1.745075,0.462510,9.189121
30,107,1.775442,0.462510,9.189121
30,108,1.907120,0.410180,9.189121
30,109,1.980177,0.410180,9.189121
30,110,1.631619,0.410180,9.189121
30,111,1.631619,0.410180,9.189121
30,112,1.631619,0.410180,9.189121
30,113,1.622056,0.359898,9.189121
30,114,1.682262,0.769926,9.189121
30,115,1.735990,0.788913,9.189121
30,116,1.776002,0.813206,9.189121
