hedge_size_mult,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.15,Legacy4,0,1.45489129,45.4891,2.749571,6.8028,40,52.5000,true
0.15,Legacy4,1,1.25712339,25.7123,3.116729,2.6583,64,60.9375,true
0.15,Legacy4,2,1.38522387,38.5224,2.598481,5.8794,43,55.8140,true
0.15,Legacy4,3,1.05979305,5.9793,0.590487,8.1814,30,56.6667,true
0.15,Legacy4,4,0.83491901,-16.5081,-0.907402,28.9646,55,40.0000,false
0.15,Legacy4,5,1.08004394,8.0044,1.297150,4.4596,39,30.7692,true
0.15,Legacy4,6,1.06450631,6.4506,1.181946,3.3485,56,46.4286,true
0.15,Legacy5BNB,0,1.63237384,63.2374,3.074159,6.8028,47,55.3191,true
0.15,Legacy5BNB,1,1.22407647,22.4076,2.717864,2.6583,74,54.0541,true
0.15,Legacy5BNB,2,1.41786163,41.7862,2.481019,7.5456,55,52.7273,true
0.15,Legacy5BNB,3,0.98514578,-1.4854,0.000490,13.3995,37,54.0541,false
0.15,Legacy5BNB,4,0.97553327,-2.4467,0.001786,26.3902,57,45.6140,false
0.15,Legacy5BNB,5,1.07608215,7.6082,1.188574,4.1690,43,30.2326,true
0.15,Legacy5BNB,6,1.07711107,7.7111,1.359265,3.0641,68,48.5294,true
0.15,OldGuardNoBNB,0,1.37728545,37.7285,2.306454,7.8431,43,51.1628,true
0.15,OldGuardNoBNB,1,1.21656387,21.6564,2.632585,2.6583,66,57.5758,true
0.15,OldGuardNoBNB,2,1.44840671,44.8407,2.795261,5.8794,52,50.0000,true
0.15,OldGuardNoBNB,3,1.17066918,17.0669,1.170780,8.1814,44,50.0000,true
0.15,OldGuardNoBNB,4,0.85501522,-14.4985,-0.677815,33.0764,61,39.3443,false
0.15,OldGuardNoBNB,5,1.07774802,7.7748,1.103708,4.5088,46,32.6087,true
0.15,OldGuardNoBNB,6,1.04409390,4.4094,0.793047,4.2648,62,45.1613,true
0.15,LargeCaps5,0,1.44284158,44.2842,2.602550,5.6809,53,49.0566,true
0.15,LargeCaps5,1,1.09788541,9.7885,1.041361,7.0277,80,47.5000,true
0.15,LargeCaps5,2,1.41163579,41.1636,2.762920,8.1018,72,58.3333,true
0.15,LargeCaps5,3,1.08699502,8.6995,0.838447,12.9612,38,52.6316,true
0.15,LargeCaps5,4,1.16148988,16.1490,0.911223,19.0614,54,53.7037,true
0.15,LargeCaps5,5,1.18477787,18.4778,1.984801,4.8752,46,43.4783,true
0.15,Legacy3,0,1.23689923,23.6899,2.103656,6.2433,33,48.4848,true
0.15,Legacy3,1,1.17154592,17.1546,3.112587,2.6817,55,60.0000,true
0.15,Legacy3,2,1.20047556,20.0476,2.081303,3.4724,34,52.9412,true
0.15,Legacy3,3,1.04986898,4.9869,0.512487,8.1814,26,53.8462,true
0.15,Legacy3,4,0.86110232,-13.8898,-1.066797,26.3001,44,40.9091,false
0.15,Legacy3,5,1.10475639,10.4756,1.861074,4.4563,34,29.4118,true
0.15,Legacy3,6,1.03860394,3.8604,1.011520,2.4776,48,47.9167,true
0.15,LowVolume5,0,1.21842574,21.8426,1.652688,9.0450,45,51.1111,true
0.15,LowVolume5,1,1.04134791,4.1348,0.861720,7.6479,65,50.7692,true
0.15,LowVolume5,2,1.13422071,13.4221,1.405293,6.4931,47,44.6809,true
0.15,LowVolume5,3,1.05312712,5.3127,0.457136,13.3457,45,42.2222,true
0.15,LowVolume5,4,0.84787759,-15.2122,-0.956068,27.1522,49,38.7755,false
0.15,LowVolume5,5,1.33859347,33.8593,2.940485,5.9119,46,39.1304,true
0.15,LowVolume5,6,0.92820355,-7.1796,-2.123460,7.5837,45,40.0000,false
0.15,OldGuard4,0,1.15160203,15.1602,1.339541,8.4533,37,45.9459,true
0.15,OldGuard4,1,1.13352552,13.3526,2.378980,2.6817,58,56.8966,true
0.15,OldGuard4,2,1.26495391,26.4954,2.386156,4.0315,44,47.7273,true
0.15,OldGuard4,3,1.15970684,15.9707,1.112909,8.1814,40,47.5000,true
0.15,OldGuard4,4,0.86636501,-13.3635,-0.840627,30.4537,51,39.2157,false
0.15,OldGuard4,5,1.09885892,9.8859,1.446645,4.6642,42,30.9524,true
0.15,OldGuard4,6,1.00640660,0.6407,0.181873,3.2932,54,42.5926,true
0.2,Base5,0,1.50414171,50.4142,2.697503,5.3383,55,47.2727,true
0.2,Base5,1,1.15943227,15.9432,1.515197,7.4459,77,49.3506,true
0.2,Base5,2,1.55054955,55.0550,3.551183,4.9794,67,64.1791,true
0.2,Base5,3,1.18928060,18.9281,1.678464,11.0715,36,55.5556,true
0.2,Base5,4,1.01786730,1.7867,0.239090,15.7072,61,50.8197,true
0.2,Base5,5,1.22501795,22.5018,2.267586,4.9292,54,48.1481,true
0.2,NoDOGE,0,1.31932589,31.9326,2.068766,5.6809,44,47.7273,true
0.2,NoDOGE,1,1.15870607,15.8706,1.521171,7.4459,71,50.7042,true
0.2,NoDOGE,2,1.40764147,40.7641,2.904050,6.9757,60,61.6667,true
0.2,NoDOGE,3,1.16378710,16.3787,1.490343,11.7507,31,54.8387,true
0.2,NoDOGE,4,0.95225114,-4.7749,-0.117179,19.8182,50,50.0000,false
0.2,NoDOGE,5,1.19532332,19.5323,2.052846,4.9292,41,46.3415,true
0.2,Legacy4,0,1.47018817,47.0188,2.796613,6.8028,40,52.5000,true
0.2,Legacy4,1,1.30477576,30.4776,3.330013,3.5291,64,60.9375,true
0.2,Legacy4,2,1.42636425,42.6364,2.701831,5.8794,43,55.8140,true
0.2,Legacy4,3,1.06506528,6.5065,0.627268,8.1814,30,56.6667,true
0.2,Legacy4,4,0.83491901,-16.5081,-0.907402,28.9646,55,40.0000,false
0.2,Legacy4,5,1.06644516,6.6445,1.056385,5.7025,39,30.7692,true
0.2,Legacy4,6,1.07067691,7.0677,1.191879,4.4421,56,46.4286,true
0.2,Legacy5BNB,0,1.65174761,65.1748,3.119078,6.8028,47,55.3191,true
0.2,Legacy5BNB,1,1.25917355,25.9174,2.828598,3.5291,74,54.0541,true
0.2,Legacy5BNB,2,1.46751589,46.7516,2.601446,7.5456,55,52.7273,true
0.2,Legacy5BNB,3,0.99288840,-0.7112,0.057974,13.3995,37,54.0541,false
0.2,Legacy5BNB,4,0.97553327,-2.4467,0.001786,26.3902,57,45.6140,false
0.2,Legacy5BNB,5,1.06318665,6.3187,0.967785,5.3198,43,30.2326,true
0.2,Legacy5BNB,6,1.09035943,9.0359,1.454003,4.0679,68,48.5294,true
0.2,OldGuardNoBNB,0,1.39443250,39.4433,2.367015,7.8431,43,51.1628,true
0.2,OldGuardNoBNB,1,1.25834063,25.8341,2.843581,3.5291,66,57.5758,true
0.2,OldGuardNoBNB,2,1.48542971,48.5430,2.871749,5.8794,52,50.0000,true
0.2,OldGuardNoBNB,3,1.18260502,18.2605,1.218473,8.1814,44,50.0000,true
0.2,OldGuardNoBNB,4,0.85501522,-14.4985,-0.677815,33.0764,61,39.3443,false
0.2,OldGuardNoBNB,5,1.06478460,6.4785,0.913079,5.5336,46,32.6087,true
0.2,OldGuardNoBNB,6,1.04758330,4.7583,0.791206,5.6491,62,45.1613,true
0.2,LargeCaps5,0,1.45782647,45.7826,2.645494,5.6809,53,49.0566,true
0.2,LargeCaps5,1,1.13056458,13.0565,1.265253,7.3439,80,47.5000,true
0.2,LargeCaps5,2,1.49065665,49.0657,3.014790,8.1018,72,58.3333,true
0.2,LargeCaps5,3,1.08492009,8.4920,0.813434,13.2033,38,52.6316,true
0.2,LargeCaps5,4,1.16173137,16.1731,0.912249,19.0614,54,53.7037,true
0.2,LargeCaps5,5,1.18251350,18.2514,1.926626,4.9292,46,43.4783,true
0.2,Legacy3,0,1.24903342,24.9033,2.168683,6.2433,33,48.4848,true
0.2,Legacy3,1,1.21028367,21.0284,3.272816,3.5599,55,60.0000,true
0.2,Legacy3,2,1.23018951,23.0190,2.183965,3.4724,34,52.9412,true
0.2,Legacy3,3,1.05181529,5.1815,0.525926,8.1814,26,53.8462,true
0.2,Legacy3,4,0.86110232,-13.8898,-1.066797,26.3001,44,40.9091,false
0.2,Legacy3,5,1.09086002,9.0860,1.580501,5.6981,34,29.4118,true
0.2,Legacy3,6,1.04302321,4.3023,1.009526,3.2922,48,47.9167,true
0.2,LowVolume5,0,1.24227340,24.2273,1.777374,9.0450,45,51.1111,true
0.2,LowVolume5,1,1.08035347,8.0353,1.296853,8.5906,65,50.7692,true
0.2,LowVolume5,2,1.16023427,16.0234,1.534611,6.4931,47,44.6809,true
0.2,LowVolume5,3,1.05236109,5.2361,0.447998,14.3529,45,42.2222,true
0.2,LowVolume5,4,0.84709303,-15.2907,-0.963349,27.1522,49,38.7755,false
0.2,LowVolume5,5,1.32569045,32.5690,2.804421,6.0622,46,39.1304,true
0.2,LowVolume5,6,0.92406019,-7.5940,-1.935133,8.1298,45,40.0000,false
0.2,OldGuard4,0,1.16512714,16.5127,1.424880,8.4533,37,45.9459,true
0.2,OldGuard4,1,1.16691816,16.6918,2.572347,3.5599,58,56.8966,true
0.2,OldGuard4,2,1.29432032,29.4320,2.465125,4.0315,44,47.7273,true
0.2,OldGuard4,3,1.16789278,16.7893,1.144541,8.1814,40,47.5000,true
0.2,OldGuard4,4,0.86636501,-13.3635,-0.840627,30.4537,51,39.2157,false
0.2,OldGuard4,5,1.08448561,8.4486,1.228907,5.9348,42,30.9524,true
0.2,OldGuard4,6,1.00416744,0.4167,0.122603,4.3753,54,42.5926,true
0.25,Base5,0,1.54018553,54.0186,2.689811,5.3383,55,47.2727,true
0.25,Base5,1,1.20118745,20.1187,1.736378,7.7838,77,49.3506,true
0.25,Base5,2,1.63515522,63.5155,3.713643,4.9794,67,64.1791,true
0.25,Base5,3,1.18993375,18.9934,1.654048,11.2914,36,55.5556,true
0.25,Base5,4,1.01807674,1.8077,0.240118,15.7072,61,50.8197,true
0.25,Base5,5,1.23157242,23.1572,2.241789,4.9833,54,48.1481,true
0.25,NoDOGE,0,1.33164760,33.1648,2.107903,5.6809,44,47.7273,true
0.25,NoDOGE,1,1.20030091,20.0301,1.748548,7.7838,71,50.7042,true
0.25,NoDOGE,2,1.46882138,46.8821,3.054925,6.9757,60,61.6667,true
0.25,NoDOGE,3,1.15819278,15.8193,1.426788,12.1366,31,54.8387,true
0.25,NoDOGE,4,0.95244708,-4.7553,-0.115934,19.8182,50,50.0000,false
0.25,NoDOGE,5,1.19456400,19.4564,1.999236,4.9833,41,46.3415,true
0.25,Legacy4,0,1.48550895,48.5509,2.834629,6.8028,40,52.5000,true
0.25,Legacy4,1,1.35396263,35.3963,3.464295,4.3924,64,60.9375,true
0.25,Legacy4,2,1.46809371,46.8094,2.767932,5.8794,43,55.8140,true
0.25,Legacy4,3,1.07030141,7.0301,0.661278,8.1814,30,56.6667,true
0.25,Legacy4,4,0.83491901,-16.5081,-0.907402,28.9646,55,40.0000,false
0.25,Legacy4,5,1.05297896,5.2979,0.825741,6.9317,39,30.7692,true
0.25,Legacy4,6,1.07677076,7.6771,1.184823,5.5245,56,46.4286,true
