window,turtle_pass,turtle_sharpe,turtle_return,turtle_dd,turtle_trades,donchian_pass,donchian_sharpe,donchian_return,donchian_dd,donchian_trades,sleeve_pass,sleeve_sharpe,sleeve_return,sleeve_dd,sleeve_trades,delta_sharpe_vs_turtle,delta_return_vs_turtle
0,true,6.928030,1172.7420,54.6981,14,true,6.061553,571.3342,49.1681,12,true,6.991967,992.3310,53.3682,26,0.063936,-180.4110
1,true,4.844545,20425.7814,12.2922,11,true,4.682652,1628.8149,9.7945,9,true,5.079998,12128.6227,9.3988,20,0.235453,-8297.1587
2,true,5.759942,333.7525,25.0490,12,true,9.967429,345.3130,10.3654,11,true,7.056313,341.4150,18.5282,23,1.296371,7.6624
3,true,4.104044,130.0981,41.7276,15,true,7.145277,415.6887,35.4461,13,true,5.143953,182.4071,31.5448,28,1.039910,52.3090
4,true,1.258068,17.0836,32.5817,13,true,10.853847,239.0954,9.9675,11,true,3.877512,53.3087,15.6228,24,2.619443,36.2251
5,true,0.550283,6.2116,31.7638,13,false,0.076946,-0.3226,35.8601,10,true,0.450398,4.6711,30.0994,23,-0.099885,-1.5405
