day,equity
0,1.000000
1,1.000000
2,1.000000
3,1.000000
4,1.000000
5,1.000000
6,1.000000
7,1.000000
8,1.000000
9,1.000000
10,1.067614
11,0.878445
12,0.878445
13,0.878445
14,0.878445
15,0.878445
16,0.878445
17,0.878445
18,0.878445
19,0.787508
20,0.787508
21,0.787508
22,0.787508
23,0.787508
24,0.787508
25,0.787508
26,0.787508
27,0.787508
28,0.787508
29,0.787508
30,0.787508
31,0.787508
32,0.787508
33,0.787508
34,0.787508
35,0.787508
36,0.787508
37,0.787508
38,0.787508
39,0.787508
40,0.787508
41,0.787508
42,0.787508
43,0.787508
44,0.787508
45,0.787508
46,0.787508
47,0.787508
48,0.787508
49,0.787508
50,0.787508
51,0.787508
52,0.787508
53,0.787508
54,0.787508
55,0.787508
56,0.787508
57,0.787508
58,0.787508
59,0.787508
60,0.787508
61,0.787508
62,0.787508
63,0.787508
64,0.787508
65,0.787508
66,0.787508
67,0.787508
68,0.787508
69,1.000000
70,0.910510
71,0.939564
72,1.062569
73,1.029273
74,1.029273
75,1.029273
76,1.029273
77,1.029273
78,1.029273
79,1.029273
80,1.029273
81,1.029273
82,1.287232
83,1.287232
84,1.287232
85,1.261588
86,1.261588
87,1.458317
88,1.863887
89,1.863887
90,1.863887
91,1.863887
92,1.964827
93,2.159411
94,2.026255
95,2.026255
96,2.087186
97,2.087186
98,2.087186
99,2.087186
100,2.087186
101,2.087186
102,2.087186
103,2.087186
104,2.087186
105,2.087186
106,2.087186
107,2.087186
108,2.087186
109,1.000000
110,2.115312
111,2.147366
112,2.147366
113,2.147366
114,2.147366
115,2.147366
116,2.147366
117,2.147366
118,2.147366
119,2.147366
120,2.147366
121,2.147366
122,2.147366
123,2.147366
124,2.147366
125,2.147366
126,2.147366
127,2.147366
128,2.147366
129,2.147366
130,2.088174
131,2.088174
132,2.088174
133,2.088174
134,2.088174
135,2.088174
136,2.383771
137,2.383771
138,2.383771
139,2.383771
140,2.171284
141,2.171284
142,2.171284
143,2.171284
144,2.171284
145,2.622801
146,2.622801
147,2.622801
148,2.622801
149,2.763007
150,2.763007
151,2.763007
152,2.763007
153,2.763007
154,2.763007
155,2.763007
156,2.763007
157,2.763007
158,2.763007
159,2.763007
160,2.763007
161,2.763007
162,2.763007
163,2.763007
164,2.460625
165,2.460625
166,2.460625
167,2.460625
168,2.460625
169,2.460625
170,2.460625
171,2.460625
172,2.460625
173,2.460625
174,2.460625
175,2.460625
176,2.460625
177,2.460625
178,2.460625
179,2.460625
180,2.460625
181,2.460625
182,2.460625
183,2.460625
184,2.991193
185,2.991193
186,2.991193
187,2.991193
188,2.991193
189,2.991193
190,2.991193
191,3.643024
192,3.643024
193,3.643024
194,3.643024
195,3.145990
196,3.145990
197,3.145990
198,3.145990
199,3.145990
200,3.145990
201,3.145990
202,3.145990
203,2.708294
204,2.708294
205,2.708294
206,2.708294
207,2.708294
208,2.708294
209,2.708294
210,2.708294
211,2.708294
212,2.708294
213,2.708294
214,2.708294
215,2.708294
216,2.708294
217,2.708294
218,2.708294
219,2.708294
220,2.708294
221,2.708294
222,2.708294
223,2.708294
224,2.708294
225,2.708294
226,2.708294
227,2.708294
228,2.708294
229,2.708294
230,2.708294
231,2.708294
232,2.708294
233,2.708294
234,2.856397
235,2.856397
236,2.856397
237,2.856397
238,2.856397
239,2.856397
240,2.856397
241,2.856397
242,2.856397
243,2.856397
244,2.856397
245,2.856397
246,2.856397
247,2.856397
248,2.856397
249,2.856397
250,2.856397
251,2.856397
252,2.856397
253,2.856397
254,2.856397
255,2.856397
256,2.856397
257,2.856397
258,2.856397
259,2.856397
260,2.856397
261,2.856397
262,2.856397
263,2.856397
264,2.856397
265,2.856397
266,2.856397
267,2.856397
268,2.856397
269,2.856397
270,2.856397
271,2.856397
272,2.856397
273,2.856397
274,2.856397
275,2.856397
276,2.856397
277,2.856397
278,2.856397
279,2.856397
280,2.856397
281,2.856397
282,2.856397
283,2.856397
284,2.856397
285,2.856397
286,2.856397
287,2.856397
288,2.856397
289,2.856397
290,1.000000
291,3.366110
292,3.366110
293,3.366110
294,3.366110
295,3.366110
296,3.366110
297,3.740311
298,3.740311
299,3.666794
300,3.666794
301,3.666794
302,3.666794
303,3.666794
304,3.666794
305,3.666794
306,3.666794
307,3.666794
308,3.666794
309,3.666794
310,3.666794
311,3.666794
312,3.666794
313,3.666794
314,3.666794
315,1.000000
316,3.902578
317,3.857162
318,3.857162
319,3.857162
320,3.857162
321,3.857162
322,3.857162
323,3.857162
324,3.857162
325,3.857162
326,3.857162
327,3.857162
328,3.857162
329,3.857162
330,3.857162
331,3.857162
332,3.857162
333,3.857162
334,3.857162
335,3.857162
336,3.857162
337,3.857162
338,3.857162
339,3.857162
340,3.857162
341,3.857162
342,1.000000
343,3.857162
344,3.857162
345,3.857162
346,3.857162
347,4.888959
348,4.888959
349,6.276289
350,9.406484
351,18.812630
352,14.501057
353,14.501057
354,14.501057
355,11.230754
356,11.230754
357,11.230754
358,11.230754
359,11.230754
360,11.230754
361,11.230754
362,11.230754
363,11.230754
364,11.230754
365,11.230754
366,11.230754
367,11.230754
368,11.230754
369,1.000000
370,13.611316
371,14.328131
372,14.328131
373,14.328131
374,14.328131
375,14.328131
376,14.328131
377,14.328131
378,14.328131
379,14.328131
380,14.328131
381,14.328131
382,14.328131
383,14.328131
384,14.328131
385,1.000000
386,14.328131
387,14.328131
388,14.328131
389,14.328131
390,14.328131
391,14.328131
392,1.000000
393,15.368850
394,15.368850
395,15.368850
396,15.368850
397,15.149576
398,15.149576
399,15.149576
400,15.149576
401,15.149576
402,15.149576
403,15.149576
404,15.149576
405,15.149576
406,15.149576
407,14.976869
408,14.976869
409,14.976869
410,14.976869
411,15.708499
412,15.708499
413,15.708499
414,15.708499
415,15.708499
416,15.708499
417,15.708499
418,15.708499
419,15.708499
420,15.708499
421,15.708499
422,15.708499
423,15.708499
424,15.708499
425,15.208153
426,15.208153
427,15.208153
428,15.208153
429,15.208153
430,15.208153
431,15.208153
432,13.529170
433,13.529170
434,13.529170
435,13.529170
436,13.529170
437,13.529170
438,13.529170
439,13.529170
440,13.529170
441,13.529170
442,13.529170
443,13.529170
444,13.529170
445,13.529170
446,13.529170
447,13.529170
448,13.529170
449,13.529170
450,13.529170
451,13.529170
452,13.529170
453,13.529170
454,13.529170
455,13.529170
456,13.529170
457,13.529170
458,13.529170
459,13.529170
460,13.529170
461,13.529170
462,13.529170
463,11.900924
464,11.900924
465,10.882584
466,10.882584
467,10.882584
468,10.882584
469,10.842770
470,10.842770
471,12.828146
472,12.828146
473,11.276415
474,11.276415
475,11.276415
476,10.967572
477,10.967572
478,10.967572
479,10.967572
480,10.967572
481,10.967572
482,10.967572
483,10.967572
484,10.967572
485,10.967572
486,10.967572
487,10.967572
488,10.967572
489,10.967572
490,10.967572
491,10.967572
492,10.967572
493,10.967572
494,10.967572
495,10.967572
496,10.967572
497,10.967572
498,10.967572
499,10.967572
500,10.967572
501,10.967572
502,10.967572
503,1.000000
504,10.967572
505,12.383395
506,12.383395
507,12.383395
508,12.383395
509,12.383395
510,12.383395
511,10.794849
512,10.794849
513,10.794849
514,10.794849
515,10.794849
516,10.794849
517,10.794849
518,10.794849
519,10.794849
520,10.794849
521,10.794849
522,10.794849
523,10.794849
524,10.396473
525,10.396473
526,10.396473
527,10.396473
528,10.396473
529,10.396473
530,10.396473
531,10.396473
532,11.480602
533,11.480602
534,11.177876
535,11.177876
536,11.177876
537,11.177876
538,11.177876
539,10.415634
540,10.415634
541,10.415634
542,10.415634
543,10.415634
544,10.415634
545,10.415634
546,10.415634
547,9.711547
548,9.711547
549,9.711547
550,9.711547
551,9.711547
552,9.711547
553,9.711547
554,9.711547
555,9.711547
556,9.711547
557,9.711547
558,9.711547
559,9.711547
560,9.711547
561,9.711547
562,9.711547
563,9.711547
564,9.711547
565,9.711547
566,9.711547
567,9.711547
568,9.711547
569,9.711547
570,9.711547
571,9.711547
572,9.711547
573,9.711547
574,9.711547
575,9.711547
576,9.711547
577,9.711547
578,9.711547
579,9.711547
580,9.711547
581,9.711547
582,9.711547
583,9.711547
584,9.711547
585,9.711547
586,9.711547
587,9.711547
588,9.711547
589,9.711547
590,9.711547
591,1.000000
592,9.583455
593,9.583455
594,10.167985
595,10.167985
596,10.167985
597,9.520107
598,9.520107
599,9.520107
600,10.507746
601,10.507746
602,10.507746
603,10.507746
604,10.507746
605,10.507746
606,10.507746
607,10.507746
608,10.507746
609,10.507746
610,10.507746
611,10.507746
612,10.507746
613,9.958901
614,9.958901
615,9.958901
616,9.958901
617,9.958901
618,9.958901
619,9.958901
620,9.958901
621,9.958901
622,9.958901
623,9.958901
624,9.958901
625,9.958901
626,9.958901
627,9.958901
628,9.188456
629,9.188456
630,9.188456
631,9.188456
632,9.188456
633,9.188456
634,9.188456
635,9.188456
636,9.188456
637,9.188456
638,9.188456
639,9.188456
640,9.188456
641,9.188456
642,9.188456
643,9.188456
644,9.188456
645,9.188456
646,9.188456
647,9.188456
648,9.188456
649,9.188456
650,9.188456
651,9.188456
652,9.188456
653,9.188456
654,9.188456
655,9.188456
656,9.188456
657,9.188456
658,9.188456
659,9.188456
660,9.188456
661,9.188456
662,9.188456
663,9.188456
664,9.188456
665,9.188456
666,9.188456
667,9.188456
668,9.188456
669,9.188456
670,9.188456
671,9.188456
672,9.188456
673,9.188456
674,9.188456
675,9.188456
676,9.188456
677,1.000000
678,9.783694
679,9.783694
680,9.783694
681,9.783694
682,9.783694
683,9.783694
684,9.499373
685,9.499373
686,9.499373
687,9.499373
688,10.717100
689,10.717100
690,10.717100
691,10.717100
692,10.717100
693,10.166241
694,10.166241
695,10.166241
696,10.166241
697,10.166241
698,10.166241
699,12.394359
700,12.394359
701,12.394359
702,12.394359
703,12.394359
704,12.394359
705,12.394359
706,12.394359
707,12.394359
708,12.394359
709,12.394359
710,12.394359
711,12.394359
712,11.071602
713,11.071602
714,10.425018
715,10.425018
716,10.425018
717,10.425018
718,10.425018
719,10.425018
720,10.425018
721,10.425018
722,10.425018
723,10.425018
724,10.425018
725,10.425018
726,10.425018
727,10.425018
728,10.425018
729,10.425018
730,10.425018
731,10.108891
732,10.108891
733,10.108891
734,10.779843
735,10.721755
736,10.721755
737,10.721755
738,10.721755
739,10.721755
740,10.721755
741,10.521463
742,10.521463
743,11.257163
744,11.144885
745,11.144885
746,13.216952
747,13.216952
748,13.216952
749,13.216952
750,13.216952
751,13.112816
752,13.112816
753,13.817078
754,16.483748
755,16.483748
756,16.483748
757,15.464648
758,15.464648
759,15.464648
760,15.464648
761,15.464648
762,15.464648
763,15.464648
764,15.464648
765,15.464648
766,13.288604
767,13.288604
768,13.288604
769,13.288604
770,13.288604
771,13.288604
772,13.288604
773,15.965303
774,15.965303
775,15.965303
776,15.965303
777,15.965303
778,15.965303
779,15.965303
780,15.965303
781,15.965303
782,15.965303
783,15.965303
784,15.965303
785,15.965303
786,18.856015
787,18.856015
788,23.295678
789,23.295678
790,23.295678
791,23.295678
792,23.295678
793,23.295678
794,23.295678
795,23.295678
796,23.295678
797,23.295678
798,23.295678
799,23.295678
800,23.295678
801,21.904246
802,21.904246
803,21.904246
804,21.904246
805,21.904246
806,21.904246
807,21.904246
808,21.904246
809,21.904246
810,21.904246
811,21.904246
812,21.904246
813,21.904246
814,21.904246
815,21.904246
816,21.770340
817,21.770340
818,21.770340
819,21.770340
820,21.770340
821,19.203942
822,19.203942
823,19.203942
824,19.203942
825,19.203942
826,19.203942
827,19.203942
828,19.203942
829,19.203942
830,19.203942
831,19.203942
832,19.203942
833,19.203942
834,19.203942
835,19.203942
836,19.203942
837,19.203942
838,19.203942
839,19.203942
840,23.689526
841,23.689526
842,23.689526
843,23.689526
844,23.689526
845,23.689526
846,23.689526
847,23.689526
848,23.689526
849,23.689526
850,23.689526
851,23.689526
852,23.689526
853,23.689526
854,23.689526
855,23.689526
856,23.689526
857,23.689526
858,23.689526
859,1.000000
860,23.689526
861,23.689526
862,23.689526
863,23.689526
864,23.689526
865,32.029264
866,32.029264
867,32.029264
868,32.029264
869,32.029264
870,32.029264
871,32.029264
872,36.761774
873,36.761774
874,36.761774
875,36.761774
876,36.761774
877,36.761774
878,36.761774
879,35.547753
880,35.547753
881,35.547753
882,35.547753
883,35.547753
884,35.547753
885,35.547753
886,35.547753
887,35.547753
888,35.547753
889,35.547753
890,35.547753
891,35.547753
892,43.922120
893,43.922120
894,43.922120
895,43.922120
896,47.287323
897,47.287323
898,55.375071
899,51.220376
900,51.220376
901,51.220376
902,51.220376
903,51.220376
904,51.220376
905,51.220376
906,51.220376
907,51.220376
908,51.220376
909,51.220376
910,51.220376
911,51.220376
912,54.633545
913,65.019435
914,65.019435
915,65.019435
916,65.019435
917,65.019435
918,65.019435
919,65.019435
920,65.019435
921,65.019435
922,65.019435
923,65.019435
924,65.019435
925,65.019435
926,65.019435
927,65.019435
928,65.019435
929,65.019435
930,65.019435
931,65.019435
932,65.019435
933,65.019435
934,65.019435
935,65.019435
936,65.019435
937,65.019435
938,65.019435
939,65.019435
940,65.019435
941,65.019435
942,65.019435
943,65.019435
944,65.019435
945,65.019435
946,65.019435
947,65.019435
948,65.019435
949,65.019435
950,65.019435
951,65.019435
952,65.019435
953,65.019435
954,65.019435
955,65.019435
956,65.019435
957,65.019435
958,65.019435
959,1.000000
960,58.740834
961,58.740834
962,58.740834
963,58.740834
964,58.740834
965,64.796966
966,64.796966
967,64.796966
968,64.796966
969,64.796966
970,64.796966
971,64.796966
972,64.796966
973,64.796966
974,64.796966
975,64.796966
976,64.796966
977,64.796966
978,65.864824
979,65.864824
980,65.864824
981,65.864824
982,65.864824
983,65.864824
984,65.864824
985,65.864824
986,65.864824
987,65.864824
988,65.864824
989,65.864824
990,65.864824
991,65.864824
992,73.355075
993,65.704621
994,65.704621
995,65.704621
996,65.704621
997,65.704621
998,65.704621
999,63.486020
1000,63.486020
1001,63.486020
1002,63.486020
1003,63.486020
1004,63.486020
1005,81.038244
1006,81.038244
1007,81.038244
1008,81.038244
1009,81.038244
1010,81.038244
1011,81.038244
1012,81.038244
1013,74.663866
1014,74.663866
1015,74.663866
1016,74.663866
1017,74.663866
1018,74.663866
1019,74.663866
1020,74.663866
1021,74.663866
1022,74.663866
1023,74.663866
1024,74.663866
1025,74.663866
1026,93.357170
1027,93.357170
1028,93.357170
1029,93.357170
1030,93.357170
1031,93.357170
1032,93.357170
1033,93.357170
1034,93.357170
1035,93.357170
1036,93.357170
1037,91.683778
1038,91.683778
1039,91.683778
1040,91.683778
1041,91.683778
1042,91.683778
1043,91.683778
1044,91.683778
1045,98.244259
1046,98.244259
1047,98.244259
1048,98.244259
1049,98.244259
1050,98.244259
1051,98.244259
1052,98.244259
1053,98.244259
1054,98.244259
1055,98.244259
1056,98.244259
1057,98.244259
1058,98.244259
1059,98.244259
1060,89.485172
1061,89.485172
1062,89.485172
1063,89.485172
1064,89.485172
1065,89.485172
1066,89.485172
1067,89.485172
1068,89.485172
1069,89.485172
1070,89.485172
1071,89.485172
1072,89.485172
1073,89.485172
1074,99.244334
1075,99.244334
1076,99.244334
1077,99.244334
1078,99.244334
1079,99.244334
1080,99.244334
1081,99.244334
1082,99.244334
1083,99.244334
1084,99.244334
1085,99.244334
1086,99.244334
1087,99.244334
1088,99.244334
1089,99.244334
1090,99.244334
1091,99.244334
1092,99.244334
1093,99.244334
1094,99.244334
1095,99.244334
1096,99.244334
1097,99.244334
1098,99.244334
1099,99.244334
1100,99.244334
1101,99.244334
1102,99.244334
1103,99.244334
1104,99.244334
1105,99.244334
1106,99.244334
1107,99.244334
1108,99.244334
1109,99.244334
1110,99.244334
1111,99.244334
1112,99.244334
1113,99.244334
1114,99.244334
1115,99.244334
1116,99.244334
1117,99.244334
1118,99.244334
1119,99.244334
1120,99.244334
1121,99.244334
1122,99.244334
1123,99.244334
1124,99.244334
1125,99.244334
1126,99.244334
1127,99.244334
1128,99.244334
1129,99.244334
1130,99.244334
1131,99.244334
1132,99.244334
1133,99.244334
1134,1.000000
1135,114.905343
1136,114.905343
1137,114.905343
1138,114.905343
1139,114.905343
1140,114.905343
1141,114.905343
1142,114.905343
1143,114.905343
1144,114.905343
1145,114.905343
1146,114.905343
1147,114.905343
1148,106.495268
1149,106.495268
1150,106.495268
1151,106.495268
1152,103.121046
1153,103.121046
1154,103.121046
1155,103.121046
1156,103.121046
1157,103.121046
1158,103.121046
1159,1.000000
1160,93.606169
1161,93.606169
1162,93.606169
1163,93.606169
1164,93.606169
1165,93.606169
1166,93.606169
1167,93.606169
1168,93.606169
1169,93.606169
1170,93.606169
1171,93.606169
1172,93.606169
1173,93.606169
1174,93.606169
1175,93.606169
1176,93.606169
1177,93.606169
1178,93.606169
1179,93.606169
1180,93.606169
1181,93.606169
1182,93.606169
1183,93.606169
1184,93.606169
1185,93.606169
1186,93.606169
1187,93.606169
1188,93.606169
1189,93.606169
1190,93.606169
1191,93.606169
1192,93.606169
1193,93.606169
1194,1.000000
1195,93.606169
1196,104.834679
1197,104.834679
1198,104.834679
1199,104.834679
1200,104.834679
1201,104.834679
1202,104.834679
1203,104.834679
1204,104.834679
1205,104.834679
1206,104.834679
1207,104.834679
1208,104.834679
1209,104.834679
1210,104.834679
1211,104.834679
1212,104.834679
1213,104.834679
1214,104.834679
1215,104.834679
1216,1.000000
1217,104.834679
1218,104.834679
1219,104.834679
1220,104.834679
1221,104.834679
1222,104.834679
1223,104.834679
1224,104.834679
1225,104.834679
1226,104.834679
1227,104.834679
1228,1.000000
1229,104.834679
1230,104.834679
1231,107.971079
1232,107.971079
1233,107.971079
1234,107.971079
1235,107.971079
1236,107.971079
1237,107.971079
1238,107.971079
1239,107.971079
1240,100.387930
1241,100.387930
1242,100.387930
1243,100.387930
1244,100.387930
1245,100.387930
1246,100.387930
1247,100.387930
1248,100.387930
1249,115.511580
1250,115.511580
1251,115.511580
1252,115.511580
1253,115.511580
1254,115.511580
1255,115.511580
1256,115.511580
1257,115.511580
1258,115.511580
1259,115.511580
1260,124.455870
1261,124.455870
1262,124.455870
1263,124.455870
1264,124.455870
1265,124.455870
1266,124.455870
1267,124.455870
1268,124.455870
1269,124.455870
1270,124.455870
1271,124.455870
1272,124.455870
1273,124.455870
1274,124.455870
1275,124.455870
1276,124.455870
1277,1.000000
1278,124.455870
1279,124.455870
1280,124.455870
1281,124.455870
1282,124.455870
1283,124.455870
1284,124.455870
1285,124.455870
1286,124.455870
1287,124.455870
1288,124.455870
1289,124.455870
1290,124.455870
1291,124.455870
1292,124.455870
1293,124.455870
1294,124.455870
1295,124.455870
1296,124.455870
1297,124.455870
1298,124.455870
1299,124.455870
1300,124.455870
1301,124.455870
1302,124.455870
1303,124.455870
1304,124.455870
1305,124.455870
1306,124.455870
1307,124.455870
1308,124.455870
1309,124.455870
1310,124.455870
1311,124.455870
1312,124.455870
1313,124.455870
1314,124.455870
1315,124.455870
1316,124.455870
1317,1.000000
1318,124.455870
1319,112.656411
1320,112.656411
1321,134.179006
1322,139.397552
1323,139.397552
1324,139.397552
1325,139.397552
1326,139.397552
1327,139.397552
1328,139.397552
1329,139.397552
1330,139.397552
1331,139.397552
1332,139.397552
1333,139.397552
1334,139.397552
1335,139.397552
1336,139.397552
1337,139.397552
1338,139.397552
