step,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10
52,0.676506,0.766270,3.829294,1.491639,4.488207,4.964896,4.964896,4.964896,4.964896,4.964896
53,0.676506,0.766270,3.829294,1.491639,4.488207,4.531611,4.531611,4.531611,4.531611,4.531611
54,0.676506,0.766270,3.829294,1.863873,4.488207,4.188994,4.188994,4.188994,4.188994,4.188994
55,0.676506,0.766270,3.829294,1.677539,4.488207,4.809617,4.809617,4.809617,4.809617,4.809617
56,0.676506,0.766270,3.829294,1.677539,4.488207,4.398726,4.398726,4.398726,4.398726,4.398726
57,0.676506,0.766270,3.829294,1.677539,4.488207,5.118992,5.118992,5.118992,5.118992,5.118992
58,0.676506,0.766270,3.829294,1.677539,4.488207,5.118992,5.118992,5.118992,5.118992,5.118992
59,0.676506,0.766270,3.922274,1.677539,6.318367,5.118992,5.118992,5.118992,5.118992,5.118992
60,0.676506,0.766270,4.820994,1.677539,6.318367,5.118992,5.118992,5.118992,5.118992,5.118992
61,0.676506,0.766270,4.820994,1.677539,5.904360,5.118992,5.118992,5.118992,5.118992,5.118992
62,0.676506,0.766270,4.820994,1.677539,4.253631,5.118992,5.118992,5.118992,5.118992,5.118992
63,0.676506,0.766270,4.820994,1.677539,4.253631,5.118992,5.118992,5.118992,5.118992,5.118992
64,0.676506,0.766270,4.820994,1.677539,9.653828,5.118992,5.118992,5.118992,5.118992,5.118992
65,0.676506,0.766270,4.820994,1.537172,9.653828,5.118992,5.118992,5.118992,5.118992,5.118992
66,0.676506,0.766270,4.820994,1.537172,9.653828,5.118992,5.118992,5.118992,5.118992,5.118992
67,0.676506,0.766270,6.024060,1.537172,9.653828,5.118992,5.118992,5.118992,5.118992,5.118992
68,0.676506,0.766270,5.421827,1.537172,7.906992,5.118992,5.118992,5.118992,5.118992,5.118992
69,0.676506,0.766270,5.421827,1.537172,7.906992,5.118992,5.118992,5.118992,5.118992,5.118992
70,0.676506,0.766270,5.421827,1.537172,7.906992,5.118992,5.118992,5.118992,5.118992,5.118992
71,0.676506,0.766270,5.421827,1.537172,7.906992,5.118992,5.118992,5.118992,5.118992,5.118992
72,0.676506,0.766270,5.421827,2.163985,7.906992,6.585073,6.585073,6.585073,6.585073,6.585073
73,0.676506,0.766270,5.421827,2.163985,7.906992,6.585073,6.585073,6.585073,6.585073,6.585073
74,0.676506,0.766270,5.421827,2.163985,7.906992,6.585073,6.585073,6.585073,6.585073,6.585073
75,0.676506,0.766270,5.421827,2.163985,7.906992,6.585073,6.585073,6.585073,6.585073,6.585073
76,0.859422,0.973457,5.421827,2.163985,7.906992,6.585073,6.585073,6.585073,6.585073,6.585073
77,1.436268,1.626844,5.421827,2.163985,15.717301,6.585073,6.585073,6.585073,6.585073,6.585073
78,3.067456,3.474470,4.968157,2.163985,13.134014,7.042222,7.042222,7.042222,7.042222,7.042222
79,3.067456,3.474470,4.968157,2.163985,13.134014,6.886283,6.886283,6.886283,6.886283,6.886283
80,3.067456,3.474470,4.968157,2.163985,13.134014,6.748450,6.748450,6.748450,6.748450,6.748450
81,3.067456,3.474470,4.968157,2.163985,13.134014,6.748450,6.748450,6.748450,6.748450,6.748450
82,3.067456,3.474470,4.968157,2.163985,13.134014,6.294011,6.294011,6.294011,6.294011,6.294011
83,3.067456,3.474470,4.968157,2.163985,13.134014,6.302146,6.302146,6.302146,6.302146,6.302146
84,3.067456,3.474470,4.968157,2.163985,13.134014,7.683792,7.683792,7.683792,7.683792,7.683792
85,3.067456,3.558835,6.994026,2.163985,13.134014,7.683792,7.683792,7.683792,7.683792,7.683792
86,3.067456,4.374279,6.994026,2.163985,13.134014,8.693264,8.693264,8.693264,8.693264,8.693264
87,3.067456,4.374279,6.994026,2.163985,13.134014,9.026933,9.026933,9.026933,9.026933,9.026933
88,3.067456,4.374279,6.994026,2.163985,13.134014,9.026933,9.026933,9.026933,9.026933,9.026933
89,3.067456,4.374279,6.994026,2.163985,13.134014,9.026933,9.026933,9.026933,9.026933,9.026933
90,3.067456,4.374279,6.994026,2.163985,11.987814,8.729011,8.729011,8.729011,8.729011,8.729011
91,3.067456,4.374279,6.994026,2.163985,11.081463,7.994229,7.994229,7.994229,7.994229,7.994229
92,3.067456,4.374279,6.994026,2.163985,12.723242,7.994229,7.994229,7.994229,7.994229,7.994229
93,3.067456,5.465869,6.994026,2.163985,11.636282,7.994229,7.994229,7.994229,7.994229,7.994229
94,3.067456,4.919439,6.994026,2.163985,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
95,3.067456,4.919439,6.994026,2.163985,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
96,3.067456,4.919439,6.994026,2.163985,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
