atr_mult,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.55,Base5,2,1.39879949,39.8799,2.963139,6.1395,120,52.5000,true
0.55,Base5,3,0.95174901,-4.8251,-0.592282,10.1210,70,40.0000,false
0.55,Base5,4,1.16634208,16.6342,1.183942,8.0646,99,44.4444,true
0.55,Base5,5,1.06426855,6.4269,1.114836,6.5234,99,39.3939,true
0.55,NoDOGE,0,1.18914400,18.9144,1.825396,4.7654,80,47.5000,true
0.55,NoDOGE,1,1.39758003,39.7580,3.545008,4.2373,115,52.1739,true
0.55,NoDOGE,2,1.30354517,30.3545,2.642898,6.1336,108,52.7778,true
0.55,NoDOGE,3,0.96581304,-3.4187,-0.408355,9.0314,61,44.2623,false
0.55,NoDOGE,4,1.04810276,4.8103,0.525237,8.0646,84,45.2381,true
0.55,NoDOGE,5,1.01075921,1.0759,0.269001,8.4959,81,38.2716,true
0.55,Legacy4,0,1.11384776,11.3848,1.122178,6.3994,79,44.3038,true
0.55,Legacy4,1,1.25761933,25.7619,2.781774,4.3677,112,53.5714,true
0.55,Legacy4,2,1.25942697,25.9427,2.355921,4.3884,91,48.3516,true
0.55,Legacy4,3,0.91533721,-8.4663,-1.192569,10.0242,55,40.0000,false
0.55,Legacy4,4,1.07434497,7.4345,0.885470,5.2155,82,48.7805,true
0.55,Legacy4,5,0.89222830,-10.7772,-3.231261,11.5276,76,30.2632,false
0.55,Legacy4,6,0.94509065,-5.4909,-1.337248,6.3310,99,44.4444,false
0.55,Legacy5BNB,0,1.16626927,16.6269,1.517636,5.1445,94,47.8723,true
0.55,Legacy5BNB,1,1.27778892,27.7789,2.862075,4.8351,133,53.3835,true
0.55,Legacy5BNB,2,1.26621645,26.6216,2.161213,4.5774,116,46.5517,true
0.55,Legacy5BNB,3,0.92997809,-7.0022,-0.881689,8.5850,69,44.9275,false
0.55,Legacy5BNB,4,1.12054333,12.0543,1.301008,4.3128,97,50.5155,true
0.55,Legacy5BNB,5,0.88346220,-11.6538,-3.504675,12.0213,86,30.2326,false
0.55,Legacy5BNB,6,0.98456013,-1.5440,-0.254356,5.8825,122,46.7213,false
0.55,OldGuardNoBNB,0,1.09693290,9.6933,0.955027,7.9177,89,44.9438,true
0.55,OldGuardNoBNB,1,1.23794214,23.7942,2.588286,4.6520,115,52.1739,true
0.55,OldGuardNoBNB,2,1.29907217,29.9072,2.456577,4.3884,106,48.1132,true
0.55,OldGuardNoBNB,3,0.94044302,-5.9557,-0.573686,13.4906,71,40.8451,false
0.55,OldGuardNoBNB,4,1.04223657,4.2237,0.518680,6.0017,94,46.8085,true
0.55,OldGuardNoBNB,5,0.84672411,-15.3276,-3.660002,15.3276,94,32.9787,false
0.55,OldGuardNoBNB,6,0.91384906,-8.6151,-1.991288,10.1194,111,41.4414,false
0.55,LargeCaps5,0,1.23388823,23.3888,2.134279,4.2054,97,49.4845,true
0.55,LargeCaps5,1,1.41999431,41.9994,3.629043,4.7053,136,52.2059,true
0.55,LargeCaps5,2,1.32218579,32.2186,2.819581,6.6882,132,52.2727,true
0.55,LargeCaps5,3,0.98126129,-1.8739,-0.196272,7.0346,75,48.0000,false
0.55,LargeCaps5,4,1.11894730,11.8947,1.118404,7.6574,99,48.4848,true
0.55,LargeCaps5,5,0.98193267,-1.8067,-0.365836,9.8840,92,34.7826,false
0.55,Legacy3,0,1.02948344,2.9483,0.425272,7.7732,64,43.7500,true
0.55,Legacy3,1,1.18174933,18.1749,2.549819,2.7928,90,54.4444,true
0.55,Legacy3,2,1.12859681,12.8597,1.397666,5.4888,69,42.0290,true
0.55,Legacy3,3,0.92050578,-7.9494,-1.130744,9.5161,43,39.5349,false
0.55,Legacy3,4,1.08124980,8.1250,1.132018,4.2009,66,50.0000,true
0.55,Legacy3,5,0.91394407,-8.6056,-2.789111,9.1344,59,30.5085,false
0.55,Legacy3,6,0.92772946,-7.2271,-2.056446,7.4225,74,39.1892,false
0.55,LowVolume5,0,1.13947757,13.9478,1.469525,6.8196,88,48.8636,true
0.55,LowVolume5,1,1.21339767,21.3398,2.553402,6.4335,93,50.5376,true
0.55,LowVolume5,2,1.16924955,16.9250,1.538825,5.5005,88,50.0000,true
0.55,LowVolume5,3,0.90013439,-9.9866,-0.843949,18.0055,62,37.0968,false
0.55,LowVolume5,4,0.98467179,-1.5328,-0.125678,6.0395,80,47.5000,false
0.55,LowVolume5,5,0.92457912,-7.5421,-1.722425,10.3455,84,40.4762,false
0.55,LowVolume5,6,0.86662461,-13.3375,-3.051552,13.3375,71,30.9859,false
0.55,OldGuard4,0,1.00417182,0.4172,0.109574,10.1353,75,44.0000,true
0.55,OldGuard4,1,1.16325924,16.3259,2.306051,3.6291,93,52.6882,true
0.55,OldGuard4,2,1.18316162,18.3162,1.732556,5.4888,84,44.0476,true
0.55,OldGuard4,3,0.94575335,-5.4247,-0.520863,12.9550,59,40.6780,false
0.55,OldGuard4,4,1.04893504,4.8935,0.673479,5.6963,78,47.4359,true
0.55,OldGuard4,5,0.85818531,-14.1815,-3.664920,14.1815,78,33.3333,false
0.55,OldGuard4,6,0.89706177,-10.2938,-2.674752,11.5365,86,36.0465,false
0.60,Base5,0,1.28835616,28.8356,1.517961,9.6605,92,46.7391,true
0.60,Base5,1,1.36184067,36.1841,3.244111,5.8553,123,50.4065,true
0.60,Base5,2,1.39879949,39.8799,2.963139,6.1395,120,52.5000,true
0.60,Base5,3,0.95174901,-4.8251,-0.592282,10.1210,70,40.0000,false
0.60,Base5,4,1.19107503,19.1075,1.334361,8.0646,98,45.9184,true
0.60,Base5,5,1.06150545,6.1505,1.069264,6.5234,99,39.3939,true
0.60,NoDOGE,0,1.21525905,21.5259,2.026776,4.2054,79,49.3671,true
0.60,NoDOGE,1,1.43615239,43.6152,3.764631,4.2373,114,53.5088,true
0.60,NoDOGE,2,1.30354517,30.3545,2.642898,6.1336,108,52.7778,true
0.60,NoDOGE,3,0.96581304,-3.4187,-0.408355,9.0314,61,44.2623,false
0.60,NoDOGE,4,1.07032838,7.0328,0.728260,8.0646,83,46.9880,true
0.60,NoDOGE,5,1.00813504,0.8135,0.211466,8.6481,81,38.2716,true
0.60,Legacy4,0,1.13830922,13.8309,1.328497,5.6459,78,46.1538,true
0.60,Legacy4,1,1.25761933,25.7619,2.781774,4.3677,112,53.5714,true
0.60,Legacy4,2,1.24768912,24.7689,2.242008,4.3884,91,48.3516,true
0.60,Legacy4,3,0.91533721,-8.4663,-1.192569,10.0242,55,40.0000,false
0.60,Legacy4,4,1.08372465,8.3725,0.982465,5.2155,82,48.7805,true
0.60,Legacy4,5,0.88991187,-11.0088,-3.301631,11.7573,76,30.2632,false
0.60,Legacy4,6,0.94217095,-5.7829,-1.455745,6.3310,98,45.9184,false
0.60,Legacy5BNB,0,1.15729302,15.7293,1.442511,5.1445,94,47.8723,true
0.60,Legacy5BNB,1,1.27778892,27.7789,2.862075,4.8351,133,53.3835,true
0.60,Legacy5BNB,2,1.25441532,25.4415,2.068693,4.5774,116,46.5517,true
0.60,Legacy5BNB,3,0.92997809,-7.0022,-0.881689,8.5850,69,44.9275,false
0.60,Legacy5BNB,4,1.10307710,10.3077,1.161570,4.3128,98,50.0000,true
