config,pass_windows,total_windows,pass_rate_pct,avg_sharpe,avg_return_pct,avg_dd_pct,total_trades
equal_capital_baseline,6,7,86,10.177296148012408,665.4144445762595,38.19234108942313,653
atr_norm_10k,4,7,57,53.47623293149099,3597.4678873416874,280.4255938186988,653
atr_norm_20k,4,7,57,106.95246586298198,7194.935774683375,538.4777603526952,653
