chand_mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
2.25,OldGuardNoBNB,2,232.14,10.4225,16.38,9,77.78,true
2.25,OldGuardNoBNB,3,54.49,5.2038,28.41,11,54.55,true
2.25,OldGuardNoBNB,4,31.39,9.5137,16.15,5,80.00,true
2.25,OldGuardNoBNB,5,147.40,15.1801,11.17,8,62.50,true
2.25,LargeCaps5,0,119.54,6.2309,57.62,13,46.15,true
2.25,LargeCaps5,1,-8.85,-1.1780,25.38,7,57.14,false
2.25,LargeCaps5,2,567.44,12.5513,16.38,10,60.00,true
2.25,LargeCaps5,3,27.07,3.7295,41.03,13,46.15,true
2.25,LargeCaps5,4,117.05,17.6790,13.66,7,71.43,true
2.25,LargeCaps5,5,-21.90,-4.0940,28.84,8,25.00,false
2.25,Legacy3,0,91.39,6.7272,23.21,13,53.85,true
2.25,Legacy3,1,31.01,5.5372,21.67,9,55.56,true
2.25,Legacy3,2,219.50,11.4275,16.38,7,71.43,true
2.25,Legacy3,3,164.91,10.8750,28.41,9,66.67,true
2.25,Legacy3,4,-5.10,0.4914,18.22,8,62.50,false
2.25,Legacy3,5,10.42,3.8000,11.17,6,33.33,true
2.25,LowVolume5,0,31.02,3.0538,29.90,15,53.33,true
2.25,LowVolume5,1,-50.07,-6.5281,52.07,12,25.00,false
2.25,LowVolume5,2,586.50,12.8831,16.38,11,81.82,true
2.25,LowVolume5,3,-40.56,-0.3978,74.65,13,46.15,false
2.25,LowVolume5,4,-27.90,-1.7989,37.10,10,40.00,false
2.25,LowVolume5,5,21.67,3.6853,26.43,9,44.44,true
2.25,OldGuard4,0,136.04,8.9593,17.93,13,53.85,true
2.25,OldGuard4,1,14.41,3.3828,26.40,9,66.67,true
2.25,OldGuard4,2,176.00,8.6985,16.38,9,66.67,true
2.25,OldGuard4,3,164.91,10.8750,28.41,9,66.67,true
2.25,OldGuard4,4,75.15,8.8972,16.93,8,75.00,true
2.25,OldGuard4,5,12.16,2.7034,32.17,10,40.00,true
2.20,Base5,0,40.18,4.5479,57.62,12,41.67,true
2.20,Base5,1,196.80,6.1558,32.32,11,45.45,true
2.20,Base5,2,180.23,8.3662,35.07,12,58.33,true
2.20,Base5,3,25.57,3.2480,34.19,15,46.67,true
2.20,Base5,4,72.68,11.3660,19.68,8,62.50,true
2.20,Base5,5,39.67,4.7806,22.08,9,33.33,true
2.20,NoDOGE,0,40.18,4.5479,57.62,12,41.67,true
