window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
W00,380.2246,8.4076,30.7593,13,53.8462,true
W01,45.2528,1.9943,31.5840,16,50.0000,true
W02,-1.6771,1.2081,41.6612,17,35.2941,false
W03,173.5518,6.1867,21.0860,12,50.0000,true
W04,58.3470,3.5451,25.6412,14,71.4286,true
W05,46.4191,2.6839,19.7503,16,56.2500,true
