type,interval,window,pass,sharpe,ret_pct,max_dd,trades,win_rate
close_losers,10,4,true,1.103,0.6,73.2,24,54
close_losers,10,5,true,5.084,35.7,72.3,21,38
close_losers,15,0,true,5.862,48.4,74.3,26,65
close_losers,15,1,true,5.350,126.4,61.1,15,53
close_losers,15,2,true,7.851,179.0,70.4,22,82
close_losers,15,3,true,7.076,62.9,70.4,33,64
close_losers,15,4,true,1.578,2.1,73.2,23,57
close_losers,15,5,true,5.675,34.5,72.9,22,36
close_losers,21,0,true,6.225,48.6,74.3,26,65
close_losers,21,1,true,4.817,127.1,61.1,17,47
close_losers,21,2,true,7.434,191.9,70.4,24,79
close_losers,21,3,true,8.640,67.0,70.4,31,68
close_losers,21,4,false,0.083,-2.6,73.2,25,52
close_losers,21,5,true,4.497,33.7,72.9,23,35
close_losers,30,0,true,4.937,46.1,77.5,29,59
close_losers,30,1,true,5.061,126.4,61.1,16,50
close_losers,30,2,true,7.507,179.0,70.4,23,78
close_losers,30,3,true,6.830,68.0,70.4,34,62
close_losers,30,4,false,0.083,-2.6,73.2,25,52
close_losers,30,5,true,3.824,34.5,72.9,25,32
close_losers,42,0,true,5.348,46.1,77.5,28,61
close_losers,42,1,true,4.817,127.1,61.1,17,47
close_losers,42,2,true,7.434,191.9,70.4,24,79
close_losers,42,3,true,6.797,66.2,70.4,34,62
close_losers,42,4,false,0.083,-2.6,73.2,25,52
close_losers,42,5,true,3.824,34.5,72.9,25,32
