universe,window,atr_ema,final_equity
LowVolume5,0,5,2.566891
LowVolume5,1,1,1.308477
LowVolume5,1,4,1.790740
LowVolume5,1,1,1.308477
LowVolume5,1,5,1.582722
LowVolume5,2,1,5.459707
LowVolume5,2,4,6.293945
LowVolume5,2,1,5.459707
LowVolume5,2,5,6.293945
LowVolume5,3,1,3.694919
LowVolume5,3,4,3.866992
LowVolume5,3,1,3.694919
LowVolume5,3,5,3.866992
LowVolume5,4,1,0.619264
LowVolume5,4,4,0.528506
LowVolume5,4,1,0.619264
LowVolume5,4,5,0.642128
LowVolume5,5,1,0.373334
LowVolume5,5,4,1.028131
LowVolume5,5,1,0.373334
LowVolume5,5,5,0.628756
OldGuard4,0,1,2.677465
OldGuard4,0,4,1.761288
OldGuard4,0,1,2.677465
OldGuard4,0,5,2.034699
OldGuard4,1,1,1.182221
OldGuard4,1,4,1.336674
OldGuard4,1,1,1.182221
OldGuard4,1,5,1.506649
OldGuard4,2,1,1.746286
OldGuard4,2,4,1.306971
OldGuard4,2,1,1.746286
OldGuard4,2,5,1.306971
OldGuard4,3,1,2.158581
OldGuard4,3,4,2.297485
OldGuard4,3,1,2.158581
OldGuard4,3,5,2.143679
OldGuard4,4,1,0.687847
OldGuard4,4,4,0.620092
OldGuard4,4,1,0.687847
OldGuard4,4,5,0.620092
OldGuard4,5,1,0.297142
OldGuard4,5,4,0.348639
OldGuard4,5,1,0.297142
OldGuard4,5,5,0.655158
