universe,threshold,pass_windows,total_windows,pass_pct,avg_sharpe,avg_ret_pct,avg_dd_pct,avg_trades
LowVolume5,40,0,0,0,-0.345,53.6,0.0,8
LowVolume5,50,0,0,0,2.132,55.6,0.0,7
LowVolume5,60,0,0,0,-6.772,45.6,0.0,6
OldGuard4,0,0,0,0,1.017,101.3,0.0,13
OldGuard4,3,0,0,0,1.448,111.5,0.0,12
OldGuard4,5,0,0,0,2.520,119.7,0.0,11
OldGuard4,7,0,0,0,2.263,120.0,0.0,11
OldGuard4,10,0,0,0,1.628,80.1,0.0,11
OldGuard4,15,0,0,0,1.867,89.2,0.0,11
OldGuard4,20,0,0,0,0.908,42.2,0.0,10
OldGuard4,25,0,0,0,-0.331,30.7,0.0,9
OldGuard4,30,0,0,0,-12.290,27.3,0.0,8
OldGuard4,40,0,0,0,-12.230,32.9,0.0,7
OldGuard4,50,0,0,0,-0.746,29.1,0.0,6
OldGuard4,60,0,0,0,-4.087,35.6,0.0,5
