rank,strategy,score,full_return_pct,full_trades,full_win_rate_pct,wf_passed,wf_total,wf_avg_return_pct,wf_avg_trades,resample_passed,resample_total,resample_avg_return_pct,resample_avg_trades,universe_first_place,universe_total,loo_first_place,loo_total,bootstrap_first_place,bootstrap_total
1,Turtle+Regime,0.956354,3171.6,398,53.02,4,4,711.9,73.2,15,15,959.1,97.3,9,9,6,6,59,64
2,Turtle20,0.502402,2737.4,450,50.00,4,4,604.9,82.5,14,15,838.0,108.0,0,9,0,6,4,64
3,MaCross50,0.470823,1801.1,303,53.80,4,4,359.5,54.0,14,15,471.2,71.3,0,9,0,6,0,64
4,MomentumBreakout,0.457676,2787.4,273,50.92,4,4,574.3,49.5,13,15,741.5,65.7,0,9,0,6,0,64
5,MACD,0.434516,352.8,692,44.51,3,4,356.9,124.5,13,15,435.3,162.0,0,9,0,6,1,64
6,Turtle+MACD,0.432254,1591.7,173,52.60,2,4,372.6,30.8,15,15,469.7,40.3,0,9,0,6,0,64
7,Turtle+Regime+MACD,0.404565,1462.3,158,51.90,1,4,350.5,28.8,15,15,440.3,37.7,0,9,0,6,0,64
8,MACD+Regime,0.398712,919.8,451,45.23,3,4,217.2,81.2,12,15,316.6,106.7,0,9,0,6,0,64
