mult,avg_sharpe,pass_count,total_windows,pass_rate_pct,avg_return_pct,avg_max_dd_pct,total_trades,avg_win_rate_pct
2.0,2.8075,39,54,72.2,49.6,33.4,762,44.9
1.5,2.5636,39,54,72.2,53.7,31.1,1013,45.3
2.5,2.5531,35,54,64.8,45.4,34.8,759,45.1
3.0,2.5531,35,54,64.8,45.4,34.8,759,45.1
3.5,2.5531,35,54,64.8,45.4,34.8,759,45.1
4.0,2.5531,35,54,64.8,45.4,34.8,759,45.1
4.5,2.5531,35,54,64.8,45.4,34.8,759,45.1
5.0,2.5531,35,54,64.8,45.4,34.8,759,45.1
1.0,1.8241,37,54,68.5,60.8,32.5,1435,47.1
